,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,29,1990,19.7,33,19,21,11,1,15,42,35.7,27,206,69,33.5,130,56,20,31,7,1,24,34,67,40,1,Matches
2,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,22,1997,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0,Matches
3,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,24,1996,29.6,30,17,5,13,12,6,23,26.1,17,430,138,32.1,48,162,220,26,4,0,22,11,41,16,1,Matches
4,Tosin Adarabioyo\c81d773d,eng ENG,DF,Fulham,22,1997,32.8,41,26,31,9,1,20,38,52.6,18,182,59,32.4,115,60,7,38,23,0,15,55,96,241,1,Matches
5,Adrián\f76e6b4e,es ESP,GK,Liverpool,33,1987,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
6,Sergio Agüero\4d034881,ar ARG,FWMF,Manchester City,32,1988,6.2,3,0,0,1,2,2,11,18.2,9,89,25,28.1,8,31,50,5,1,0,4,4,7,1,0,Matches
7,Ola Aina\246d153b,ng NGA,DF,Fulham,23,1996,29.6,47,25,27,14,6,17,41,41.5,24,261,65,24.9,143,96,22,47,8,0,39,53,100,121,0,Matches
8,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,19,2001,15.6,31,16,16,13,2,12,26,46.2,14,241,72,29.9,131,74,36,27,0,0,27,15,46,39,0,Matches
9,Semi Ajayi\d6192210,ng NGA,DF,West Brom,26,1993,30.9,58,42,44,12,2,18,36,50.0,18,341,133,39.0,222,102,17,61,35,3,26,41,99,148,3,Matches
10,Nathan Aké\eaeca114,nl NED,DF,Manchester City,25,1995,8.9,15,6,7,6,2,4,5,80.0,1,73,25,34.2,35,30,8,6,2,0,4,6,21,26,0,Matches
11,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,30,1989,19.4,43,31,16,18,9,20,55,36.4,35,340,129,37.9,111,144,85,32,2,1,30,28,71,26,0,Matches
12,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,29,1991,20.6,68,43,27,29,12,19,50,38.0,31,462,135,29.2,120,232,110,28,1,0,27,42,110,21,0,Matches
13,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,31,1989,24.9,38,19,23,15,0,15,27,55.6,12,202,74,36.6,128,71,3,53,32,1,21,15,53,162,0,Matches
14,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,21,1998,33.7,58,36,29,21,8,33,57,57.9,24,328,115,35.1,124,113,91,44,4,0,40,49,107,71,2,Matches
16,Ezgjan Alioski\1a7fcf39,mk MKD,DF,Leeds United,28,1992,27.3,82,42,41,33,8,28,77,36.4,49,534,152,28.5,243,217,74,46,6,0,40,36,118,61,0,Matches
17,Alisson\7a2e46a8,br BRA,GK,Liverpool,27,1992,33.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,7,Matches
18,Allan\cc700722,br BRA,MF,Everton,29,1991,22.8,75,54,39,33,3,28,94,29.8,66,673,191,28.4,269,360,44,39,13,0,26,23,98,30,0,Matches
19,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,24,1996,6.9,20,15,9,8,3,6,17,35.3,11,218,58,26.6,44,98,76,13,1,0,12,10,30,4,0,Matches
20,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,26,1994,27.0,48,29,22,23,3,16,56,28.6,40,506,114,22.5,173,210,123,36,5,2,31,27,75,24,1,Matches
21,Marcos Alonso\f4290206,es ESP,DF,Chelsea,29,1990,10.7,13,8,5,5,3,3,17,17.6,14,140,41,29.3,61,49,30,22,1,0,21,11,24,37,0,Matches
22,Steven Alzate\ad1f61f3,co COL,MFDF,Brighton,21,1998,10.0,19,15,12,4,3,2,9,22.2,7,159,54,34.0,44,70,45,16,1,0,15,7,26,9,1,Matches
23,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,25,1994,8.0,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0,Matches
24,Ethan Ampadu\10b9fa99,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2,Matches
25,Joachim Andersen\e34fc66d,dk DEN,DF,Fulham,24,1996,30.3,41,26,23,13,5,20,37,54.1,17,196,66,33.7,128,55,13,35,16,0,19,51,92,233,1,Matches
