club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Ajax Amsterdam,Kik Pierie,21,Centre-Back,Twente FC,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Ajax Amsterdam,Dominik Kotarski,22,Goalkeeper,HNK Gorica,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Ajax Amsterdam,Lisandro Magallán,28,Centre-Back,RSC Anderlecht,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Ajax Amsterdam,Danilo Pereira,23,Centre-Forward,Without Club,-,out,Summer,0,Eredivisie,2022,2022/2023
Ajax Amsterdam,Zakaria Labyad,29,Attacking Midfield,Without Club,-,out,Summer,0,Eredivisie,2022,2022/2023
Ajax Amsterdam,Brian Brobbey,20,Centre-Forward,RB Leipzig,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
AZ Alkmaar,Joris Kramer,25,Centre-Back,Go Ahead Eagles,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
AZ Alkmaar,Thomas Ouwejan,25,Left Midfield,FC Schalke 04,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
AZ Alkmaar,Kenzo Goudmijn,20,Central Midfield,Excelsior,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
AZ Alkmaar,Ferdy Druijf,24,Centre-Forward,Rapid Vienna,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
AZ Alkmaar,Jeremy Helmer,24,Attacking Midfield,Without Club,-,out,Summer,0,Eredivisie,2022,2022/2023
AZ Alkmaar,Kamal Sowah,22,Right Winger,Club Brugge,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
SC Cambuur-Leeuwarden,Sam Hendriks,27,Centre-Forward,De Graafschap,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
SC Cambuur-Leeuwarden,Tamás Kiss,21,Left Winger,Puskás AFC,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
SC Cambuur-Leeuwarden,Patrick Joosten,26,Left Winger,FC Groningen,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Marouan Azarkan,20,Left Winger,Excelsior,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Achraf El Bouchataoui,22,Central Midfield,RKC Waalwijk,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Robert Bozenik,22,Centre-Forward,F. Düsseldorf,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Mark Diemers,28,Central Midfield,Hannover 96,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Christian Conteh,22,Left Winger,FC Dordrecht,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Francesco Antonucci,23,Attacking Midfield,FC Volendam,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Aliou Balde,19,Left Winger,Waasl.-Beveren,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Naoufal Bannis,20,Centre-Forward,"NAC Breda","End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Achraf El Bouchataoui,22,Central Midfield,Without Club,-,out,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Guus Til,24,Attacking Midfield,Spartak Moscow,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Reiss Nelson,22,Right Winger,Arsenal,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Cyriel Dessers,27,Centre-Forward,KRC Genk,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Feyenoord Rotterdam,Valentin Cojocaru,26,Goalkeeper,SK Dnipro-1,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Michael Verrips,25,Goalkeeper,Sheff Utd,?,in,Summer,NA,Eredivisie,2022,2022/2023
Fortuna Sittard,Mike van Beijnen,23,Right-Back,FC Den Bosch,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Toshio Lake,21,Centre-Forward,MVV Maastricht,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Ruben van Kouwen,21,Goalkeeper,MVV Maastricht,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Arian Kastrati,20,Centre-Forward,MVV Maastricht,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Adnan Ugur,21,Central Midfield,Karagümrük,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Joshua Wehking,22,Goalkeeper,MVV Maastricht,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Yigit Emre Celtik,19,Central Midfield,Podbeskidzie,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Jordan Botaka,29,Right Winger,KAA Gent,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Michael Verrips,25,Goalkeeper,Sheff Utd,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Nigel Lonwijk,19,Centre-Back,Wolves U23,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Ivo Pinto,32,Right-Back,Dinamo Zagreb,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Fortuna Sittard,Ryan Johansson,21,Central Midfield,Sevilla Atl.,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Go Ahead Eagles,Xander Blomme,20,Defensive Midfield,Club NXT,free transfer,in,Summer,NA,Eredivisie,2022,2022/2023
Go Ahead Eagles,Rashaan Fernandes,23,Right Winger,Telstar,free transfer,in,Summer,NA,Eredivisie,2022,2022/2023
Go Ahead Eagles,Luuk Brouwers,24,Defensive Midfield,FC Utrecht,€900Th.,out,Summer,0.9,Eredivisie,2022,2022/2023
Go Ahead Eagles,Jacob Mulenga,38,Centre-Forward,Retired,-,out,Summer,0,Eredivisie,2022,2022/2023
Go Ahead Eagles,Giannis-Fivos Botos,21,Attacking Midfield,AEK Athens,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Go Ahead Eagles,Joris Kramer,25,Centre-Back,AZ Alkmaar,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Go Ahead Eagles,Ogechika Heil,21,Left Winger,Hamburger SV,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Go Ahead Eagles,Marc Cardona,26,Centre-Forward,CA Osasuna,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
Go Ahead Eagles,Iñigo Córdoba,25,Left Winger,Athletic,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Sam Schreck,23,Central Midfield,Erzgebirge Aue,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Ramon Pascal Lundqvist,25,Attacking Midfield,Panathinaikos,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Joël van Kaam,20,Right-Back,FC Emmen,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Patrick Joosten,26,Left Winger,SC Cambuur,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Wessel Dammers,27,Centre-Back,Willem II,"End of loanJun 30, 2022",in,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Bart van Hintum,35,Left-Back,PEC Zwolle,free transfer,out,Summer,NA,Eredivisie,2022,2022/2023
FC Groningen,Mo El Hankouri,25,Left Winger,Without Club,-,out,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Alex Mortensen,19,Centre-Forward,Kalmar FF,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Sebastian Tounekti,19,Left Winger,Bodø/Glimt,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
FC Groningen,Melayro Bogarde,20,Defensive Midfield,TSG Hoffenheim,"End of loanJun 30, 2022",out,Summer,0,Eredivisie,2022,2022/2023
SC Heerenveen,Stanislav Shopov,20,Attacking Midfield,Without Club,-,out,Summer,0,Eredivisie,2022,2022/2023
