club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Bayern Munich,Lars Lukas Mai,22,Centre-Back,Werder Bremen,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayern Munich,Joshua Zirkzee,21,Centre-Forward,RSC Anderlecht,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayern Munich,Chris Richards,22,Centre-Back,TSG Hoffenheim,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayern Munich,Ron-Thorben Hoffmann,23,Goalkeeper,Sunderland,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayern Munich,Adrian Fein,23,Defensive Midfield,Dynamo Dresden,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayern Munich,Niklas Süle,26,Centre-Back,Bor. Dortmund,free transfer,out,Summer,NA,1 Bundesliga,2022,2022/2023
RB Leipzig,Janis Blaswich,31,Goalkeeper,Heracles Almelo,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
RB Leipzig,Frederik Jäkel,21,Centre-Back,KV Oostende,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Tom Krauß,21,Defensive Midfield,1.FC Nuremberg,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Yvon Mvogo,28,Goalkeeper,PSV Eindhoven,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Eric Martel,20,Defensive Midfield,Austria Vienna,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Dennis Borkowski,20,Centre-Forward,1.FC Nuremberg,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Tim Schreiber,20,Goalkeeper,Hallescher FC,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Alexander Sörloth,26,Centre-Forward,Real Sociedad,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Hee-chan Hwang,26,Centre-Forward,Wolves,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Ademola Lookman,24,Left Winger,Leicester,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Brian Brobbey,20,Centre-Forward,Ajax,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Joscha Wosz,19,Attacking Midfield,Hallescher FC,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Ilaix Moriba,19,Central Midfield,Valencia,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Fabrice Hartmann,21,Right Winger,E. Braunschweig,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
RB Leipzig,Hee-chan Hwang,26,Centre-Forward,Wolves,€16.70m,out,Summer,16.7,1 Bundesliga,2022,2022/2023
RB Leipzig,Philipp Tschauner,36,Goalkeeper,Retired,-,out,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Dortmund,Niklas Süle,26,Centre-Back,FC Bayern,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
Borussia Dortmund,Göktan Gürpüz,19,Central Midfield,B. Dortmund U19,-,in,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Dortmund,Jamie Bynoe-Gittens,17,Right Winger,B. Dortmund U19,-,in,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Dortmund,Roman Bürki,31,Goalkeeper,St. Louis CITY,free transfer,out,Summer,NA,1 Bundesliga,2022,2022/2023
Borussia Dortmund,Reinier,20,Attacking Midfield,Real Madrid,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Dortmund,Marin Pongracic,24,Centre-Back,VfL Wolfsburg,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Jakub Kaminski,20,Left Winger,Lech Poznan,€10.00m,in,Summer,10,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Lino Kasten,21,Goalkeeper,SKN St. Pölten,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Ulysses Llanez,21,Left Winger,SKN St. Pölten,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Yun-sang Hong,20,Left Winger,SKN St. Pölten,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Elvis Rexhbecaj,24,Central Midfield,VfL Bochum,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Omar Marmoush,23,Centre-Forward,VfB Stuttgart,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Marin Pongracic,24,Centre-Back,Bor. Dortmund,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Josip Brekalo,24,Left Winger,Torino,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Josuha Guilavogui,31,Defensive Midfield,G. Bordeaux,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Bryang Kayo,19,Central Midfield,Nuremberg II,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,John Anthony Brooks,29,Centre-Back,Without Club,-,out,Summer,0,1 Bundesliga,2022,2022/2023
VfL Wolfsburg,Dodi Lukébakio,24,Right Winger,Hertha BSC,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Jérôme Onguéné,24,Centre-Back,RB Salzburg,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Faride Alidou,20,Left Winger,Hamburger SV,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Randal Kolo Muani,23,Centre-Forward,FC Nantes,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Marcel Wenig,18,Attacking Midfield,FC Bayern U19,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Nacho Ferri,18,Centre-Forward,Frankfurt U19,-,in,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Steven Zuber,30,Left Winger,AEK Athens,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Dominik Kohr,28,Central Midfield,1.FSV Mainz 05,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Martin Pecar,19,Left Winger,Austria Vienna,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Fynn Otto,20,Centre-Back,Hallescher FC,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Ali Akman,20,Centre-Forward,NEC Nijmegen,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Rodrigo Zalazar,22,Central Midfield,FC Schalke 04,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Elias Bördner,20,Goalkeeper,Viktoria Köln,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Rodrigo Zalazar,22,Central Midfield,FC Schalke 04,€2.00m,out,Summer,2,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Aymen Barkok,24,Attacking Midfield,1.FSV Mainz 05,free transfer,out,Summer,NA,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Enrique Herrero García,17,Centre-Forward,Real Madrid U18,?,out,Summer,NA,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Danny da Costa,28,Right-Back,Without Club,-,out,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Stefan Ilsanker,33,Defensive Midfield,Without Club,-,out,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Jens Petter Hauge,22,Right Winger,AC Milan,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Kristijan Jakic,25,Defensive Midfield,Dinamo Zagreb,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
Eintracht Frankfurt,Sam Lammers,25,Centre-Forward,Atalanta BC,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
Bayer 04 Leverkusen,Ayman Azhil,21,Central Midfield,RKC Waalwijk,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayer 04 Leverkusen,Yannik Schlößer,20,Right Winger,Nuremberg II,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayer 04 Leverkusen,Mitchell Weiser,28,Right-Back,Werder Bremen,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayer 04 Leverkusen,Joel Pohjanpalo,27,Centre-Forward,C. Rizespor,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayer 04 Leverkusen,Nadiem Amiri,25,Central Midfield,Genoa,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Bayer 04 Leverkusen,Julian Baumgartlinger,34,Defensive Midfield,Without Club,-,out,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Paul Seguin,27,Central Midfield,Greuther Fürth,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Lennart Moser,22,Goalkeeper,A. Klagenfurt,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Tim Maciejewski,21,Left Winger,A. Klagenfurt,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Marcus Ingvartsen,26,Centre-Forward,1.FSV Mainz 05,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Leon Dajaku,21,Second Striker,Sunderland,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Tymoteusz Puchacz,23,Left-Back,Trabzonspor,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Fabio Schneider,19,Central Midfield,KuPS,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Pawel Wszolek,30,Right Midfield,Legia Warszawa,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Rick van Drongelen,23,Centre-Back,KV Mechelen,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Grischa Prömel,27,Central Midfield,TSG Hoffenheim,free transfer,out,Summer,NA,1 Bundesliga,2022,2022/2023
1.FC Union Berlin,Timo Baumgartl,26,Centre-Back,PSV Eindhoven,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Mönchengladbach,Moritz Nicolas,24,Goalkeeper,Viktoria Köln,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Mönchengladbach,Rocco Reitz,20,Central Midfield,Sint-Truiden,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Mönchengladbach,Andreas Poulsen,22,Left-Back,FC Ingolstadt,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Mönchengladbach,Famana Quizera,20,Attacking Midfield,Académico Viseu,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Mönchengladbach,Torben Müsel,22,Attacking Midfield,KAS Eupen,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Mönchengladbach,Hannes Wolf,23,Attacking Midfield,Swansea,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
Borussia Mönchengladbach,Matthias Ginter,28,Centre-Back,Without Club,-,out,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Thomas Kastanaras,19,Centre-Forward,Stuttgart U19,-,in,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Maxime Awoudja,24,Centre-Back,WSG Tirol,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Antonis Aidonis,21,Centre-Back,Dynamo Dresden,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Pablo Maffeo,24,Right-Back,RCD Mallorca,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Darko Churlinov,21,Second Striker,FC Schalke 04,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Philipp Klement,29,Attacking Midfield,SC Paderborn,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Konstantinos Mavropanos,24,Centre-Back,Arsenal,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Hiroki Ito,23,Centre-Back,Júbilo Iwata,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
VfB Stuttgart,Omar Marmoush,23,Centre-Forward,VfL Wolfsburg,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
SC Freiburg,Robert Wagner,18,Central Midfield,SC Freiburg II,-,in,Summer,0,1 Bundesliga,2022,2022/2023
SC Freiburg,Luca Itter,23,Left-Back,Greuther Fürth,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
SC Freiburg,Niclas Thiede,23,Goalkeeper,SC Verl,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Finn Ole Becker,22,Central Midfield,FC St. Pauli,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Grischa Prömel,27,Central Midfield,Union Berlin,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,David Otto,23,Centre-Forward,Jahn Regensburg,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Ilay Elmkies,22,Central Midfield,Admira Wacker,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Konstantinos Stafylidis,28,Left-Back,VfL Bochum,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Maximilian Beier,19,Centre-Forward,Hannover 96,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Melayro Bogarde,20,Defensive Midfield,FC Groningen,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,João Klauss,25,Centre-Forward,Sint-Truiden,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Mijat Gacinovic,27,Attacking Midfield,Panathinaikos,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Sargis Adamyan,29,Centre-Forward,Club Brugge,"End of loanJun 30, 2022",in,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,João Klauss,25,Centre-Forward,St. Louis CITY,€3.20m,out,Summer,3.2,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Havard Nordtveit,32,Centre-Back,Without Club,-,out,Summer,0,1 Bundesliga,2022,2022/2023
TSG 1899 Hoffenheim,Chris Richards,22,Centre-Back,FC Bayern,"End of loanJun 30, 2022",out,Summer,0,1 Bundesliga,2022,2022/2023
1.FSV Mainz 05,Anthony Caci,25,Left-Back,R. Strasbourg,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
1.FSV Mainz 05,Aymen Barkok,24,Attacking Midfield,E. Frankfurt,free transfer,in,Summer,NA,1 Bundesliga,2022,2022/2023
