club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Inter Milan,Joaquín Correa,27,Second Striker,Lazio,€23.60m,in,Summer,23.6,Serie A,2022,2022/2023
Inter Milan,Andreaw Gravillon,24,Centre-Back,Stade Reims,€3.50m,out,Summer,3.5,Serie A,2022,2022/2023
Inter Milan,Joaquín Correa,27,Second Striker,Lazio,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
Inter Milan,Felipe Caicedo,33,Centre-Forward,Genoa,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
AC Milan,Alessandro Florenzi,31,Right-Back,AS Roma,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
AC Milan,Junior Messias,31,Right Winger,Crotone,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
Atalanta BC,Jérémie Boga,25,Left Winger,Sassuolo,€22.00m,in,Summer,22,Serie A,2022,2022/2023
Atalanta BC,Giuseppe Pezzella,24,Left-Back,Parma,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
Atalanta BC,Merih Demiral,24,Centre-Back,Juventus,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
Atalanta BC,Jérémie Boga,25,Left Winger,Sassuolo,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
Atalanta BC,Valentin Mihaila,22,Left Winger,Parma,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
Juventus FC,Douglas Costa,31,Right Winger,Los Angeles,free transfer,out,Summer,NA,Serie A,2022,2022/2023
Juventus FC,Paulo Dybala,28,Second Striker,Without Club,-,out,Summer,0,Serie A,2022,2022/2023
Juventus FC,Álvaro Morata,29,Centre-Forward,Atlético Madrid,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
Juventus FC,Federico Chiesa,24,Right Winger,Fiorentina,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
SSC Napoli,Arkadiusz Milik,28,Centre-Forward,Marseille,€9.00m,out,Summer,9,Serie A,2022,2022/2023
SSC Napoli,Gennaro Tutino,25,Centre-Forward,Parma,€5.50m,out,Summer,5.5,Serie A,2022,2022/2023
SSC Napoli,Lorenzo Insigne,31,Left Winger,Toronto,free transfer,out,Summer,NA,Serie A,2022,2022/2023
SSC Napoli,André Zambo Anguissa,26,Defensive Midfield,Fulham,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
SSC Napoli,Axel Tuanzebe,24,Centre-Back,Man Utd,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
SS Lazio,Joaquín Correa,27,Second Striker,Inter,€23.60m,out,Summer,23.6,Serie A,2022,2022/2023
SS Lazio,Mattia Zaccagni,27,Attacking Midfield,Hellas Verona,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
SS Lazio,Jovane,24,Left Winger,Sporting CP,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
AS Roma,Pau López,27,Goalkeeper,Marseille,€12.00m,out,Summer,12,Serie A,2022,2022/2023
AS Roma,Davide Santon,31,Right-Back,Without Club,-,out,Summer,0,Serie A,2022,2022/2023
AS Roma,Borja Mayoral,25,Centre-Forward,Real Madrid,"End of loanJun 30, 2022",out,Summer,0,Serie A,2022,2022/2023
