club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Arouca,Heliardo,30,Centre-Forward,Varzim,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
FC Arouca,Adílio Santos,28,Right Winger,Académico Viseu,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
FC Arouca,Antony,20,Second Striker,Joinville-SC,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
FC Arouca,Tiago Araújo,21,Left Winger,Benfica B,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
FC Arouca,Tiago Esgaio,26,Right-Back,SC Braga,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
FC Arouca,Eboue Kouassi,24,Defensive Midfield,KRC Genk,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
Belenenses SAD,Edi Semedo,22,Centre-Forward,Mafra,"End of loanJun 30, 2021",in,Summer,0,Liga Nos,2022,2022/2023
Belenenses SAD,Kikas,23,Centre-Forward,Leiria,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
Belenenses SAD,Carraça,29,Right-Back,FC Porto,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
Belenenses SAD,Rafael Camacho,22,Left Winger,Sporting CP,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Tiago Dantas,21,Central Midfield,Tondela,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Chiquinho,26,Attacking Midfield,Giresunspor,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Gedson Fernandes,23,Central Midfield,C. Rizespor,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Ferro,25,Centre-Back,Hajduk Split,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Gabriel Pires,28,Central Midfield,Al-Gharafa SC,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Carlos Vinícius,27,Centre-Forward,PSV Eindhoven,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Tomás Tavares,21,Right-Back,FC Basel,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Florentino,22,Defensive Midfield,Getafe,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Pedro Pereira,24,Right Midfield,Monza,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Nuno Santos,23,Attacking Midfield,Paços Ferreira,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Pizzi,32,Attacking Midfield,Basaksehir,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Gedson Fernandes,23,Central Midfield,Besiktas,€6.00m,out,Summer,6,Liga Nos,2022,2022/2023
SL Benfica,Valentino Lazaro,26,Right-Back,Inter,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
SL Benfica,Nemanja Radonjic,26,Left Winger,Marseille,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,Diego Llorente,20,Right Winger,CD El Ejido,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,Juninho,25,Second Striker,Chaves,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,Ricardo Mangas,24,Left-Back,G. Bordeaux,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,Alberth Elis,26,Right Winger,G. Bordeaux,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,João Barros,19,Centre-Back,Salgueiros,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,Chidozie Awaziem,25,Centre-Back,Alanyaspor,"End of loanJun 30, 2022",in,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,Alireza Beiranvand,29,Goalkeeper,Royal Antwerp,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,Tiago Ilori,29,Centre-Back,Sporting CP,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
Boavista FC,Petar Musa,24,Centre-Forward,Slavia Prague,"End of loanJun 30, 2022",out,Summer,0,Liga Nos,2022,2022/2023
