club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Zenit St. Petersburg,Daniil Shamkin,20,Attacking Midfield,Baltika,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Guus Til,24,Attacking Midfield,Feyenoord,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Maksim Glushenkov,22,Right Winger,KS Samara,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Pedro Rocha,27,Left Winger,Athletico-PR,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Oston Urunov,21,Attacking Midfield,Ufa,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Alex Kral,24,Defensive Midfield,West Ham,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Reziuan Mirzov,29,Left Winger,Khimki,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Ezequiel Ponce,25,Centre-Forward,Elche CF,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Ilya Gaponov,24,Centre-Back,KS Samara,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Jordan Larsson,25,Centre-Forward,AIK,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Samuel Gigot,28,Centre-Back,Marseille,"End of loanJun 30, 2022",out,Summer,0,Premier Liga,2022,2022/2023
Spartak Moscow,Christopher Martins Pereira,25,Defensive Midfield,BSC Young Boys,"End of loanJun 30, 2022",out,Summer,0,Premier Liga,2022,2022/2023
Lokomotiv Moscow,Ilya Berkovskiy,22,Attacking Midfield,Nizhny Novgorod,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Lokomotiv Moscow,Vitaliy Lystsov,26,Centre-Back,Akhmat Grozny,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Lokomotiv Moscow,Andrey Nikitin,21,Left Winger,Fakel Voronezh,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Lokomotiv Moscow,Aleksandr Silyanov,21,Right-Back,Rostov,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Igor Konovalov,25,Central Midfield,Akhmat Grozny,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Darko Jevtic,29,Attacking Midfield,AEK Athens,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Aleksey Gritsaenko,27,Centre-Back,Kuban,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Ivan Ignatjev,23,Centre-Forward,KS Samara,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Kirill Kosarev,20,Centre-Forward,Volgar,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Sead Haksabanovic,23,Left Winger,Djurgården,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Anders Dreyer,24,Right Winger,FC Midtjylland,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Filip Uremovic,25,Centre-Back,Sheff Utd,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Khvicha Kvaratskhelia,21,Left Winger,Dinamo Batumi,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,In-beom Hwang,25,Central Midfield,FC Seoul,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,German Onugkha,25,Centre-Forward,Vejle BK,"End of loanJun 30, 2022",out,Summer,0,Premier Liga,2022,2022/2023
Rubin Kazan,Konstantin Kuchaev,24,Attacking Midfield,CSKA Moscow,"End of loanJun 30, 2022",out,Summer,0,Premier Liga,2022,2022/2023
FC Sochi,Ivan Miladinovic,27,Centre-Back,Nizhny Novgorod,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
FC Sochi,Egor Prutsev,19,Left Midfield,Neftekhimik,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
FC Sochi,Maksim Barsov,29,Centre-Forward,Baltika,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
FC Sochi,Mateo Barac,27,Centre-Back,KS Samara,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
FC Sochi,Danila Prokhin,21,Centre-Back,Rostov,"End of loanJun 30, 2022",out,Summer,0,Premier Liga,2022,2022/2023
FC Sochi,Dmitri Vorobyev,24,Centre-Forward,Orenburg,"End of loanJun 30, 2022",out,Summer,0,Premier Liga,2022,2022/2023
CSKA Moscow,Ilya Pomazun,25,Goalkeeper,Ural,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
CSKA Moscow,Gocha Gogrichiani,22,Centre-Forward,Tekstilshchik,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
CSKA Moscow,Arnór Sigurdsson,23,Attacking Midfield,Venezia,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
CSKA Moscow,Adolfo Gaich,23,Centre-Forward,SD Huesca,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
CSKA Moscow,Vadim Karpov,19,Centre-Back,Tekstilshchik,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
CSKA Moscow,Kristijan Bistrovic,24,Central Midfield,Karagümrük,"End of loanJun 30, 2022",in,Summer,0,Premier Liga,2022,2022/2023
