club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atlético de Madrid,Nehuén Pérez,22,Centre-Back,Udinese Calcio,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Álvaro Morata,29,Centre-Forward,Juventus,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Vitolo,32,Left Winger,Getafe,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Manu Sánchez,21,Left-Back,CA Osasuna,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Ivo Grbic,26,Goalkeeper,LOSC Lille,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Marcos Paulo,21,Left Winger,Famalicão,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Santiago Arias,30,Right-Back,Granada CF,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Víctor Mollejo,21,Right Winger,CD Tenerife,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Saúl Ñíguez,27,Central Midfield,Chelsea,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Héctor Herrera,32,Central Midfield,Houston,free transfer,out,Summer,NA,Primera Division,2022,2022/2023
Atlético de Madrid,Benjamin Lecomte,31,Goalkeeper,Monaco,"End of loanJun 30, 2022",out,Summer,0,Primera Division,2022,2022/2023
Atlético de Madrid,Antoine Griezmann,31,Second Striker,Barcelona,"End of loanJun 30, 2022",out,Summer,0,Primera Division,2022,2022/2023
FC Barcelona,Francisco Trincão,22,Right Winger,Wolves,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
FC Barcelona,Antoine Griezmann,31,Second Striker,Atlético Madrid,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
FC Barcelona,Miralem Pjanic,32,Central Midfield,Besiktas,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
FC Barcelona,Álex Collado,23,Right Winger,Granada CF,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
FC Barcelona,Philippe Coutinho,30,Left Winger,Aston Villa,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
FC Barcelona,Iñaki Peña,23,Goalkeeper,Galatasaray,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
FC Barcelona,Luuk de Jong,31,Centre-Forward,Sevilla FC,"End of loanJun 30, 2022",out,Summer,0,Primera Division,2022,2022/2023
FC Barcelona,Adama Traoré,26,Right Winger,Wolves,"End of loanJun 30, 2022",out,Summer,0,Primera Division,2022,2022/2023
Real Madrid,Reinier,20,Attacking Midfield,Bor. Dortmund,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Madrid,Borja Mayoral,25,Centre-Forward,AS Roma,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Madrid,Takefusa Kubo,21,Right Winger,RCD Mallorca,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Madrid,Álvaro Odriozola,26,Right-Back,Fiorentina,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Madrid,Gareth Bale,32,Right Winger,Without Club,-,out,Summer,0,Primera Division,2022,2022/2023
Sevilla FC,Juan Berrocal,23,Centre-Back,Sporting Gijón,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Sevilla FC,Rony Lopes,26,Right Winger,Olympiacos,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Sevilla FC,Alejandro Pozo,23,Right-Back,UD Almería,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Sevilla FC,Luuk de Jong,31,Centre-Forward,Barcelona,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Sevilla FC,Óscar Rodríguez,24,Attacking Midfield,Getafe,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Sevilla FC,Oussama Idrissi,26,Left Winger,Cádiz CF,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Sevilla FC,Anthony Martial,26,Centre-Forward,Man Utd,"End of loanJun 30, 2022",out,Summer,0,Primera Division,2022,2022/2023
Real Sociedad,Martín Merquelanz,27,Left Winger,Rayo Vallecano,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Sociedad,Kévin Rodrigues,28,Left-Back,Rayo Vallecano,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Sociedad,Willian José,30,Centre-Forward,Real Betis,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Sociedad,Jon Bautista,26,Centre-Forward,CD Leganés,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Sociedad,Modibo Sagnan,23,Centre-Back,Tondela,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Sociedad,Alexander Sörloth,26,Centre-Forward,RB Leipzig,"End of loanJun 30, 2022",out,Summer,0,Primera Division,2022,2022/2023
Real Sociedad,Rafinha,29,Central Midfield,Paris SG,"End of loanJun 30, 2022",out,Summer,0,Primera Division,2022,2022/2023
Villarreal CF,Xavi Quintillà,25,Left-Back,CD Leganés,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Villarreal CF,Manu Morlanes,23,Central Midfield,Espanyol,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Villarreal CF,Fer Niño,21,Centre-Forward,RCD Mallorca,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Villarreal CF,Álex Baena,20,Left Winger,Girona,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Villarreal CF,Jorge Cuenca,22,Centre-Back,Getafe,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Villarreal CF,Iván Martín,23,Attacking Midfield,Girona,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Villarreal CF,Giovani Lo Celso,26,Central Midfield,Spurs,"End of loanJun 30, 2022",out,Summer,0,Primera Division,2022,2022/2023
Real Betis Balompié,Luiz Henrique,21,Right Winger,Fluminense,€12.60m,in,Summer,12.6,Primera Division,2022,2022/2023
Real Betis Balompié,Dani Martín,23,Goalkeeper,Málaga CF,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
Real Betis Balompié,Loren Morón,28,Centre-Forward,Espanyol,"End of loanJun 30, 2022",in,Summer,0,Primera Division,2022,2022/2023
