club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Aston Villa,Alan Thompson,24,Left Midfield,Bolton,€7.20m,in,Summer,7.2,Premier League,1998,1998/1999
Aston Villa,Paul Merson,30,Right Midfield,Middlesbrough,€6.75m,in,Summer,6.75,Premier League,1998,1998/1999
Aston Villa,Steve Watson,24,Right-Back,Newcastle,€6.00m,in,Summer,6,Premier League,1998,1998/1999
Aston Villa,David Unsworth,24,Left-Back,West Ham,€4.60m,in,Summer,4.6,Premier League,1998,1998/1999
Aston Villa,Darius Vassell,18,Centre-Forward,Aston Villa U18,-,in,Summer,0,Premier League,1998,1998/1999
Aston Villa,Gareth Barry,17,Defensive Midfield,Aston Villa U18,-,in,Summer,0,Premier League,1998,1998/1999
Aston Villa,Jlloyd Samuel,17,Defensive Midfield,Aston Villa U18,-,in,Summer,0,Premier League,1998,1998/1999
Aston Villa,Michael Standing,17,Central Midfield,Aston Villa U18,-,in,Summer,0,Premier League,1998,1998/1999
Aston Villa,Reuben Hazell,19,Centre-Back,Aston Villa U18,-,in,Summer,0,Premier League,1998,1998/1999
Aston Villa,Alan Lee,20,Centre-Forward,Port Vale,"End of loanMay 10, 1999",in,Summer,0,Premier League,1998,1998/1999
Aston Villa,Richard Walker,21,Centre-Forward,Cambridge Utd.,"End of loanMay 1, 1999",in,Summer,0,Premier League,1998,1998/1999
Aston Villa,Dwight Yorke,26,Centre-Forward,Man Utd,€19.25m,out,Summer,19.25,Premier League,1998,1998/1999
Aston Villa,David Unsworth,24,Left-Back,Everton,€4.60m,out,Summer,4.6,Premier League,1998,1998/1999
Aston Villa,Steve Staunton,29,Left-Back,Liverpool,free transfer,out,Summer,NA,Premier League,1998,1998/1999
Aston Villa,Savo Milosevic,24,Centre-Forward,Real Zaragoza,free transfer,out,Summer,NA,Premier League,1998,1998/1999
Aston Villa,Neil Davis,24,attack,Walsall,free transfer,out,Summer,NA,Premier League,1998,1998/1999
Sheffield Wednesday,Wim Jonk,31,Defensive Midfield,PSV Eindhoven,€2.80m,in,Summer,2.8,Premier League,1998,1998/1999
Sheffield Wednesday,Danny Sonner,26,Defensive Midfield,Ipswich,€100Th.,in,Summer,0.1,Premier League,1998,1998/1999
Sheffield Wednesday,Peter Holmes,17,Central Midfield,Liverpool U18,?,in,Summer,NA,Premier League,1998,1998/1999
Sheffield Wednesday,Juan Cobian,22,Right-Back,Boca Juniors II,?,in,Summer,NA,Premier League,1998,1998/1999
Sheffield Wednesday,Owen Morrison,16,Left Midfield,Sheff Wed U18,-,in,Summer,0,Premier League,1998,1998/1999
Sheffield Wednesday,Matt Hamshaw,16,Right Midfield,Sheff Wed U18,-,in,Summer,0,Premier League,1998,1998/1999
Sheffield Wednesday,Kevin Nicholson,17,Left-Back,Sheff Wed U18,-,in,Summer,0,Premier League,1998,1998/1999
Sheffield Wednesday,Neil Bennett,17,Goalkeeper,Sheff Wed U18,-,in,Summer,0,Premier League,1998,1998/1999
Sheffield Wednesday,Mark Pembridge,27,Left Midfield,Benfica,free transfer,out,Summer,NA,Premier League,1998,1998/1999
Sheffield Wednesday,Christian Mayrleb,26,Centre-Forward,Austria Vienna,free transfer,out,Summer,NA,Premier League,1998,1998/1999
Sheffield Wednesday,Simon Weaver,20,Centre-Back,Ilkeston Town,free transfer,out,Summer,NA,Premier League,1998,1998/1999
