club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Bayern Munich,Paulo Sérgio,30,Left Winger,AS Roma,€6.60m,in,Summer,6.6,1 Bundesliga,1999,1999/2000
Bayern Munich,Roque Santa Cruz,17,Centre-Forward,Olimpia,€5.00m,in,Summer,5,1 Bundesliga,1999,1999/2000
Bayern Munich,Patrik Andersson,27,Centre-Back,Bor. M'gladbach,€3.00m,in,Summer,3,1 Bundesliga,1999,1999/2000
Bayern Munich,Michael Wiesinger,26,Right Midfield,1.FC Nuremberg,€1.25m,in,Summer,1.25,1 Bundesliga,1999,1999/2000
Bayern Munich,Stefan Wessels,20,Goalkeeper,FC Bayern II,-,in,Summer,0,1 Bundesliga,1999,1999/2000
Bayern Munich,Berkant Göktan,18,Centre-Forward,Bor. M'gladbach,"End of loanJun 30, 1999",in,Summer,0,1 Bundesliga,1999,1999/2000
Bayern Munich,Ali Daei,30,Centre-Forward,Hertha BSC,€2.70m,out,Summer,2.7,1 Bundesliga,1999,1999/2000
Bayern Munich,Thomas Helmer,34,Centre-Back,Sunderland,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayern Munich,Berkant Göktan,18,Centre-Forward,Arm. Bielefeld,loan transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Marijan Kovacevic,25,Centre-Back,VfL Wolfsburg,€430Th.,in,Summer,0.43,1 Bundesliga,1999,1999/2000
MSV Duisburg,Pavel Drsek,22,Centre-Back,Chmel Blsany,€300Th.,in,Summer,0.3,1 Bundesliga,1999,1999/2000
MSV Duisburg,Andreas Voss,20,Defensive Midfield,Bay. Leverkusen,Loan fee:€150Th.,in,Summer,0.15,1 Bundesliga,1999,1999/2000
MSV Duisburg,Michael Zeyer,31,Central Midfield,VfB Stuttgart,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Ralf Keidel,22,Right-Back,Newcastle,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Sercan Güvenisik,19,Centre-Forward,FC Augsburg,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Piotr Reiss,27,Centre-Forward,Hertha BSC,loan transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Martin Schneider,30,Defensive Midfield,Bor. M'gladbach,?,in,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Stefan Trienekens,28,Centre-Forward,Wegberg-Beeck,?,in,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Rainer Torres,19,Defensive Midfield,Duisburg U19,-,in,Summer,0,1 Bundesliga,1999,1999/2000
MSV Duisburg,Slobodan Komljenovic,28,Centre-Back,1.FC K'lautern,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Marius Ebbers,21,Centre-Forward,Wattenscheid 09,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Martin Frydek,30,Central Midfield,Teplice,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
MSV Duisburg,Roberto Marquez,21,Attacking Midfield,Wuppertaler SV,?,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Robson Ponté,22,Attacking Midfield,Guarani,€4.50m,in,Summer,4.5,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Oliver Neuville,26,Centre-Forward,Hansa Rostock,€4.50m,in,Summer,4.5,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Michael Ballack,22,Central Midfield,1.FC K'lautern,€4.00m,in,Summer,4,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Bernd Schneider,25,Right Midfield,E. Frankfurt,€1.25m,in,Summer,1.25,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Vratislav Gresko,21,Left-Back,Inter Bratislava,€1.00m,in,Summer,1,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Frank Juric,25,Goalkeeper,F. Düsseldorf,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Thomas Brdaric,24,Centre-Forward,SC Fortuna Köln,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Miroslaw Spizak,20,Centre-Forward,KFC Uerdingen,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Torben Hoffmann,24,Centre-Back,SC Freiburg,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Markus Daun,18,Centre-Forward,Leverkusen U19,-,in,Summer,0,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Paulo Rink,26,Centre-Forward,Santos FC,Loan fee:€700Th.,out,Summer,0.7,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Andreas Voss,20,Defensive Midfield,MSV Duisburg,Loan fee:€150Th.,out,Summer,0.15,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Dariush Yazdani,22,Attacking Midfield,Esteghlal FC,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Aaron Mokoena,18,Centre-Back,Ajax,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Adam Ledwon,25,Defensive Midfield,SC Fortuna Köln,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Jan Heintze,35,Left-Back,PSV Eindhoven,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Niko Kovac,27,Defensive Midfield,Hamburger SV,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Erik Meijer,29,Centre-Forward,Liverpool,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Mehdi Pashazadeh,25,Centre-Back,SC Fortuna Köln,loan transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Bayer 04 Leverkusen,Hans-Peter Lehnhoff,35,Right Midfield,Leverkusen II,-,out,Summer,0,1 Bundesliga,1999,1999/2000
Hertha BSC,Marko Rehmer,27,Right-Back,Hansa Rostock,€3.60m,in,Summer,3.6,1 Bundesliga,1999,1999/2000
Hertha BSC,Ali Daei,30,Centre-Forward,FC Bayern,€2.70m,in,Summer,2.7,1 Bundesliga,1999,1999/2000
Hertha BSC,Sebastian Deisler,19,Right Midfield,Bor. M'gladbach,€2.00m,in,Summer,2,1 Bundesliga,1999,1999/2000
Hertha BSC,Konstantinos Konstantinidis,26,Centre-Back,Panathinaikos,€1.30m,in,Summer,1.3,1 Bundesliga,1999,1999/2000
Hertha BSC,Kai Michalke,23,Left Winger,VfL Bochum,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
Hertha BSC,Thomas Helmer,34,Centre-Back,Sunderland,loan transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
Hertha BSC,Joe Bacak,26,midfield,Vitesse,?,in,Summer,NA,1 Bundesliga,1999,1999/2000
Hertha BSC,Hendrik Herzog,30,Centre-Back,Unterhaching,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Hertha BSC,Piotr Reiss,27,Centre-Forward,MSV Duisburg,loan transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Hertha BSC,Alphonse Tchami,27,Centre-Forward,Without Club,-,out,Summer,0,1 Bundesliga,1999,1999/2000
Hertha BSC,Christian Saba,20,Centre-Back,FC Bayern II,"End of loanJun 30, 1999",out,Summer,0,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Christian Wörns,27,Centre-Back,Paris SG,€6.75m,in,Summer,6.75,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Evanilson,23,Right-Back,Cruzeiro,€6.50m,in,Summer,6.5,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Victor Ikpeba,26,Centre-Forward,Monaco,€6.00m,in,Summer,6,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Fredi Bobic,27,Centre-Forward,VfB Stuttgart,€5.75m,in,Summer,5.75,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Giuseppe Reina,27,Right Winger,Arm. Bielefeld,€2.20m,in,Summer,2.2,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Otto Addo,24,Attacking Midfield,Hannover 96,€250Th.,in,Summer,0.25,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Sead Kapetanovic,27,Right Midfield,VfL Wolfsburg,free transfer,in,Summer,NA,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Jovan Kirovski,23,Right Winger,SC Fortuna Köln,"End of loanJun 30, 1999",in,Summer,0,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Bachirou Salou,28,Centre-Forward,E. Frankfurt,€3.60m,out,Summer,3.6,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Stéphane Chapuisat,30,Centre-Forward,Grasshoppers,€650Th.,out,Summer,0.65,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Christian Timm,20,Right Winger,1. FC Köln,€450Th.,out,Summer,0.45,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Thomas Hengen,24,Sweeper,Besiktas,Loan fee:€250Th.,out,Summer,0.25,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Manfred Binz,33,Sweeper,K. Offenbach,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Thomas Häßler,33,Attacking Midfield,1860 Munich,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Borussia Dortmund,René Schneider,26,Centre-Back,Hansa Rostock,free transfer,out,Summer,NA,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Harry Decheiver,29,Centre-Forward,Retired,-,out,Summer,0,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Martin Kree,34,Centre-Back,Retired,-,out,Summer,0,1 Bundesliga,1999,1999/2000
Borussia Dortmund,Frank Riethmann,23,midfield,B. Dortmund II,-,out,Summer,0,1 Bundesliga,1999,1999/2000
1.FC Kaiserslautern,Jörgen Pettersson,23,Left Winger,Bor. M'gladbach,€2.10m,in,Summer,2.1,1 Bundesliga,1999,1999/2000
