club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Olympique Lyon,Mahamadou Diarra,21,Defensive Midfield,Vitesse,€3.90m,in,Summer,3.9,Ligue 1,2002,2002/2003
Olympique Lyon,Rémy Vercoutre,22,Goalkeeper,Montpellier,?,in,Summer,NA,Ligue 1,2002,2002/2003
Olympique Lyon,Tony Vairelles,29,Centre-Forward,SC Bastia,?,in,Summer,NA,Ligue 1,2002,2002/2003
Olympique Lyon,Julien Viale,20,Centre-Forward,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2002,2002/2003
Olympique Lyon,Demba Touré,17,Second Striker,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2002,2002/2003
Olympique Lyon,Alexandre Hauw,20,Left Midfield,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2002,2002/2003
Olympique Lyon,Vikash Dhorasoo,28,Central Midfield,G. Bordeaux,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
Olympique Lyon,Marc-Vivien Foé,NA,Defensive Midfield,Man City,Loan fee:€700Th.,out,Summer,0.7,Ligue 1,2002,2002/2003
Olympique Lyon,Angelo Hugues,35,Goalkeeper,Wisla Kraków,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Lyon,Anthony Braizat,24,Right Midfield,Toulouse,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Lyon,Pierre Laigle,31,Left Midfield,Montpellier,?,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Lyon,David Linarès,26,Defensive Midfield,Troyes,?,out,Summer,NA,Ligue 1,2002,2002/2003
AS Monaco,Patrice Evra,21,Left-Back,OGC Nice,€4.10m,in,Summer,4.1,Ligue 1,2002,2002/2003
AS Monaco,Mazhar Abdelrahman,25,attack,El Masry,€2.00m,in,Summer,2,Ligue 1,2002,2002/2003
AS Monaco,Akis Zikos,28,Defensive Midfield,AEK Athens,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
AS Monaco,Jimmy Juan,19,Central Midfield,Monaco B,-,in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Laurent Lanteri,17,Right Winger,Monaco U19,-,in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Nicolas Hislen,19,Defensive Midfield,Monaco B,-,in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Sébastien Grax,18,Centre-Forward,Monaco B,-,in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Sébastien Squillaci,21,Centre-Back,Monaco B,-,in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Christian Panucci,29,Right-Back,AS Roma,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Marco Simone,33,Second Striker,Milan,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Franck Jurietti,27,Left-Back,Marseille,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Uliano Courville,23,midfield,Portsmouth,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Hassan El Fakiri,25,Left-Back,Rosenborg,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
AS Monaco,Christian Panucci,29,Right-Back,AS Roma,€9.81m,out,Summer,9.81,Ligue 1,2002,2002/2003
AS Monaco,Éric Abidal,22,Left-Back,LOSC Lille,€300Th.,out,Summer,0.3,Ligue 1,2002,2002/2003
AS Monaco,Oliver Bierhoff,34,Centre-Forward,Chievo Verona,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
AS Monaco,Djibril Sidibé,20,Defensive Midfield,LB Châteauroux,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
