club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Internazionale,Julio Cruz,28,Centre-Forward,Bologna,€9.50m,in,Summer,9.5,Serie A,2003,2003/2004
FC Internazionale,Andy van der Meyde,23,Right Winger,Ajax,€6.00m,in,Summer,6,Serie A,2003,2003/2004
FC Internazionale,Jérémie Bréchet,24,Centre-Back,Olympique Lyon,€3.00m,in,Summer,3,Serie A,2003,2003/2004
FC Internazionale,Mauricio Pinilla,19,Centre-Forward,U. de Chile,€2.80m,in,Summer,2.8,Serie A,2003,2003/2004
FC Internazionale,Ianis Zicu,19,Attacking Midfield,FC Dinamo,€2.50m,in,Summer,2.5,Serie A,2003,2003/2004
FC Internazionale,Kily González,29,Left Midfield,Valencia,€2.50m,in,Summer,2.5,Serie A,2003,2003/2004
FC Internazionale,Khalilou Fadiga,28,Left Winger,AJ Auxerre,€300Th.,in,Summer,0.3,Serie A,2003,2003/2004
FC Internazionale,Georgios Karagounis,26,Central Midfield,Panathinaikos,free transfer,in,Summer,NA,Serie A,2003,2003/2004
FC Internazionale,Franco Semioli,23,Right Winger,Torino,?,in,Summer,NA,Serie A,2003,2003/2004
FC Internazionale,Matteo Giordano,18,Centre-Back,Milan U19,?,in,Summer,NA,Serie A,2003,2003/2004
FC Internazionale,Sabri Lamouchi,31,Central Midfield,AC Parma,?,in,Summer,NA,Serie A,2003,2003/2004
FC Internazionale,Thomas Helveg,32,Right-Back,AC Milan,?,in,Summer,NA,Serie A,2003,2003/2004
FC Internazionale,Luciano,27,Right Midfield,Chievo Verona,loan transfer,in,Summer,NA,Serie A,2003,2003/2004
FC Internazionale,Nicola Beati,20,Defensive Midfield,Inter U19,-,in,Summer,0,Serie A,2003,2003/2004
FC Internazionale,Fabrizio Biava,19,midfield,Inter U19,-,in,Summer,0,Serie A,2003,2003/2004
FC Internazionale,Mathieu Moreau,20,Goalkeeper,Inter U19,-,in,Summer,0,Serie A,2003,2003/2004
FC Internazionale,Alessandro Potenza,19,Centre-Back,Inter U19,-,in,Summer,0,Serie A,2003,2003/2004
FC Internazionale,Dimitar Makriev,19,Centre-Forward,Inter U19,-,in,Summer,0,Serie A,2003,2003/2004
FC Internazionale,Mario Rebecchi,19,Central Midfield,Inter U19,-,in,Summer,0,Serie A,2003,2003/2004
