club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Athletic Bilbao,Yuri Berchiche,28,Left-Back,Paris SG,€24.00m,in,Summer,24,Primera Division,2018,2018/2019
Athletic Bilbao,Ander Capa,26,Right-Back,SD Eibar,€3.00m,in,Summer,3,Primera Division,2018,2018/2019
Athletic Bilbao,Cristian Ganea,26,Left-Back,FC Viitorul,€1.00m,in,Summer,1,Primera Division,2018,2018/2019
Athletic Bilbao,Dani García,28,Central Midfield,SD Eibar,free transfer,in,Summer,NA,Primera Division,2018,2018/2019
Athletic Bilbao,Andoni López,22,Left-Back,Bilbao Athletic,-,in,Summer,0,Primera Division,2018,2018/2019
Athletic Bilbao,Unai Simón,21,Goalkeeper,Bilbao Athletic,-,in,Summer,0,Primera Division,2018,2018/2019
Athletic Bilbao,Unai López,22,Central Midfield,Rayo Vallecano,"End of loanJun 30, 2018",in,Summer,0,Primera Division,2018,2018/2019
Athletic Bilbao,Álex Remiro,23,Goalkeeper,SD Huesca,"End of loanJun 30, 2018",in,Summer,0,Primera Division,2018,2018/2019
Athletic Bilbao,Urtzi Iriondo,23,Left-Back,Granada CF,"End of loanJun 30, 2018",in,Summer,0,Primera Division,2018,2018/2019
Athletic Bilbao,Kepa Arrizabalaga,23,Goalkeeper,Chelsea,€80.00m,out,Summer,80,Primera Division,2018,2018/2019
Athletic Bilbao,Enric Saborit,26,Centre-Back,M. Tel Aviv,free transfer,out,Summer,NA,Primera Division,2018,2018/2019
Athletic Bilbao,Urtzi Iriondo,23,Left-Back,Union SG,free transfer,out,Summer,NA,Primera Division,2018,2018/2019
Athletic Bilbao,Sabin Merino,26,Centre-Forward,CD Leganés,loan transfer,out,Summer,NA,Primera Division,2018,2018/2019
Athletic Bilbao,Andoni López,22,Left-Back,UD Almería,loan transfer,out,Summer,NA,Primera Division,2018,2018/2019
Athletic Bilbao,Mikel Vesga,25,Defensive Midfield,CD Leganés,loan transfer,out,Summer,NA,Primera Division,2018,2018/2019
Athletic Bilbao,Xabi Etxeita,30,Centre-Back,SD Huesca,loan transfer,out,Summer,NA,Primera Division,2018,2018/2019
Athletic Bilbao,Kike Sola,32,Centre-Forward,Retired,-,out,Summer,0,Primera Division,2018,2018/2019
Atlético de Madrid,Thomas Lemar,22,Attacking Midfield,Monaco,€72.00m,in,Summer,72,Primera Division,2018,2018/2019
Atlético de Madrid,Gelson Martins,23,Right Winger,Sporting CP,€22.00m,in,Summer,22,Primera Division,2018,2018/2019
Atlético de Madrid,Rodri,22,Defensive Midfield,Villarreal,€20.00m,in,Summer,20,Primera Division,2018,2018/2019
Atlético de Madrid,Nikola Kalinic,30,Centre-Forward,AC Milan,€14.50m,in,Summer,14.5,Primera Division,2018,2018/2019
Atlético de Madrid,Santiago Arias,26,Right-Back,PSV Eindhoven,€11.00m,in,Summer,11,Primera Division,2018,2018/2019
Atlético de Madrid,Jonny Otto,24,Left-Back,Celta de Vigo,€7.00m,in,Summer,7,Primera Division,2018,2018/2019
Atlético de Madrid,Nehuén Pérez,18,Centre-Back,Argentinos U20,€2.00m,in,Summer,2,Primera Division,2018,2018/2019
Atlético de Madrid,Antonio Adán,31,Goalkeeper,Real Betis,€1.50m,in,Summer,1.5,Primera Division,2018,2018/2019
Atlético de Madrid,Bernard Mensah,23,Attacking Midfield,Kasimpasa,"End of loanJun 30, 2018",in,Summer,0,Primera Division,2018,2018/2019
Atlético de Madrid,Luciano Vietto,24,Centre-Forward,Valencia,"End of loanJun 30, 2018",in,Summer,0,Primera Division,2018,2018/2019
Atlético de Madrid,André Moreira,22,Goalkeeper,Belenenses,"End of loanJun 30, 2018",in,Summer,0,Primera Division,2018,2018/2019
