club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Zenit St. Petersburg,Claudinho,24,Attacking Midfield,RB Bragantino,€12.00m,in,Summer,12,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Dmitri Chistyakov,27,Centre-Back,Rostov,€3.25m,in,Summer,3.25,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Stanislav Kritsyuk,30,Goalkeeper,Gil Vicente,€2.00m,in,Summer,2,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Kirill Kravtsov,19,Defensive Midfield,Zenit 2 S-Pb,-,in,Summer,0,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Danila Prokhin,20,Centre-Back,Sochi,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Sebastián Driussi,25,Left Winger,Austin,€6.36m,out,Summer,6.36,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Danila Prokhin,20,Centre-Back,Rostov,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Andrey Lunev,29,Goalkeeper,Bay. Leverkusen,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Yuri Zhirkov,37,Left-Back,Without Club,-,out,Summer,0,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Daniil Shamkin,19,Attacking Midfield,Baltika,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Zenit St. Petersburg,Dmitri Chistyakov,27,Centre-Back,Rostov,"End of loanJun 30, 2021",out,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Victor Moses,30,Right Midfield,Chelsea,€5.00m,in,Summer,5,Premier Liga,2021,2021/2022
Spartak Moscow,Maximiliano Caufriez,24,Centre-Back,Sint-Truiden,€2.50m,in,Summer,2.5,Premier Liga,2021,2021/2022
Spartak Moscow,Mikhail Ignatov,21,Attacking Midfield,Spartak 2,-,in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Ruslan Litvinov,20,Defensive Midfield,Spartak 2,-,in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Oston Urunov,20,Attacking Midfield,Ufa,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Georgi Melkadze,24,Second Striker,Akhmat Grozny,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Guus Til,23,Attacking Midfield,SC Freiburg,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Nikolay Rasskazov,23,Right-Back,Arsenal Tula,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Aleksandr Lomovitskiy,23,Right Winger,Arsenal Tula,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Reziuan Mirzov,28,Left Winger,Khimki,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Maksim Glushenkov,21,Right Winger,Khimki,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Artem Timofeev,27,Defensive Midfield,Akhmat Grozny,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Spartak Moscow,Alex Kral,23,Defensive Midfield,West Ham,Loan fee:€5.20m,out,Summer,5.2,Premier Liga,2021,2021/2022
Spartak Moscow,Guus Til,23,Attacking Midfield,Feyenoord,Loan fee:€1.00m,out,Summer,1,Premier Liga,2021,2021/2022
Spartak Moscow,Artem Timofeev,27,Defensive Midfield,Akhmat Grozny,€800Th.,out,Summer,0.8,Premier Liga,2021,2021/2022
Spartak Moscow,Pedro Rocha,26,Left Winger,Athletico-PR,Loan fee:€700Th.,out,Summer,0.7,Premier Liga,2021,2021/2022
Spartak Moscow,Aleksandr Tashaev,27,Right Winger,Rotor Volgograd,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Spartak Moscow,Ayaz Guliev,24,Central Midfield,Arsenal Tula,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Spartak Moscow,Maksim Glushenkov,22,Right Winger,KS Samara,Loan fee:€33Th.,out,Summer,0.033,Premier Liga,2021,2021/2022
Spartak Moscow,Reziuan Mirzov,28,Left Winger,Khimki,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Spartak Moscow,Oston Urunov,20,Attacking Midfield,Ufa,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Spartak Moscow,Victor Moses,30,Right Midfield,Chelsea,"End of loanJun 30, 2021",out,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Konstantin Maradishvili,21,Defensive Midfield,CSKA Moscow,€7.00m,in,Summer,7,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Gyrano Kerk,25,Right Winger,FC Utrecht,€6.00m,in,Summer,6,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Alexis Beka Beka,20,Defensive Midfield,SM Caen,€6.00m,in,Summer,6,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Nair Tiknizyan,22,Left-Back,CSKA Moscow,€5.00m,in,Summer,5,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Tin Jedvaj,25,Centre-Back,Bay. Leverkusen,€4.00m,in,Summer,4,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Maksim Nenakhov,22,Right-Back,Akhmat Grozny,€2.00m,in,Summer,2,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Kirill Zinovich,18,Attacking Midfield,FK Minsk,€180Th.,in,Summer,0.18,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Tino Anjorin,19,Attacking Midfield,Chelsea U23,loan transfer,in,Summer,NA,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Sergey Babkin,18,Central Midfield,Loko-Kazanka M.,-,in,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Maksim Petrov,20,Central Midfield,Loko-Kazanka M.,-,in,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Daniil Khudyakov,17,Goalkeeper,Loko-Kazanka M.,-,in,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Aleksandr Silyanov,20,Right-Back,Loko-Kazanka M.,-,in,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Andrey Nikitin,20,Left Winger,Fakel Voronezh,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Luka Djordjevic,26,Centre-Forward,Arsenal Tula,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Solomon Kvirkvelia,29,Centre-Back,Rotor Volgograd,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Bryan Idowu,29,Left-Back,Khimki,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Grzegorz Krychowiak,31,Defensive Midfield,Krasnodar,€4.00m,out,Summer,4,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Maksim Mukhin,19,Defensive Midfield,CSKA Moscow,€170Th.,out,Summer,0.17,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Bryan Idowu,29,Left-Back,Khimki,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Vladislav Ignatjev,34,Right-Back,Rubin Kazan,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Anton Kochenkov,34,Goalkeeper,Arsenal Tula,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Solomon Kvirkvelia,29,Centre-Back,Without Club,-,out,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Luka Djordjevic,26,Centre-Forward,Without Club,-,out,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Éder,33,Centre-Forward,Without Club,-,out,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Vedran Corluka,35,Centre-Back,Retired,-,out,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Mikhail Lysov,23,Left-Back,Retired,-,out,Summer,0,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Vitaliy Lystsov,25,Centre-Back,Akhmat Grozny,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Lokomotiv Moscow,Andrey Nikitin,20,Left Winger,Fakel Voronezh,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Anders Dreyer,23,Right Winger,FC Midtjylland,€7.00m,in,Summer,7,Premier Liga,2021,2021/2022
Rubin Kazan,Sead Haksabanovic,22,Left Winger,Norrköping,€6.50m,in,Summer,6.5,Premier Liga,2021,2021/2022
Rubin Kazan,Montassar Talbi,23,Centre-Back,Benevento,€900Th.,in,Summer,0.9,Premier Liga,2021,2021/2022
Rubin Kazan,Konstantin Nizhegorodov,19,Centre-Back,H. Rostock U19,free transfer,in,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Vladislav Ignatjev,34,Right-Back,Loko Moscow,free transfer,in,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,German Onugkha,25,Centre-Forward,Vejle BK,loan transfer,in,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Kirill Kosarev,20,Centre-Forward,Hrv Dragovoljac,"End of loanAug 16, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Kamil Zakirov,22,Central Midfield,Noah Jurmala,"End of loanJul 31, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Ivan Konovalov,26,Goalkeeper,Ural,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Kirill Klimov,20,Centre-Forward,Tambov,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Kirill Kosarev,19,Centre-Forward,Tom Tomsk,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Aleksey Gorodovoy,27,Goalkeeper,SKA Khabarovsk,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Igor Konovalov,24,Central Midfield,Arsenal Tula,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Zuriko Davitashvili,20,Left Winger,Rotor Volgograd,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Danil Stepanov,21,Left-Back,Rotor Volgograd,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
Rubin Kazan,Denis Makarov,23,Right Midfield,Dynamo Moscow,€7.50m,out,Summer,7.5,Premier Liga,2021,2021/2022
Rubin Kazan,Carl Starfelt,26,Centre-Back,Celtic,€5.00m,out,Summer,5,Premier Liga,2021,2021/2022
Rubin Kazan,Kamil Zakirov,22,Central Midfield,DinSPb,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Mikhail Merkulov,27,Left-Back,HNK Rijeka,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Zuriko Davitashvili,20,Left Winger,Arsenal Tula,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Darko Jevtic,28,Attacking Midfield,AEK Athens,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Silvije Begic,28,Centre-Back,KS Samara,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Aleksey Gritsaenko,26,Centre-Back,Kuban,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Kirill Kosarev,20,Centre-Forward,Nizhny Novgorod,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Kirill Kosarev,19,Centre-Forward,Hrv Dragovoljac,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Igor Konovalov,25,Central Midfield,Akhmat Grozny,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Kirill Klimov,20,Centre-Forward,Kuban,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
Rubin Kazan,Danil Stepanov,21,Left-Back,Arsenal Tula,loan transfer,out,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Victorien Angban,24,Central Midfield,FC Metz,€4.10m,in,Summer,4.1,Premier Liga,2021,2021/2022
FC Sochi,Mateo Cassierra,24,Centre-Forward,Belenenses SAD,€1.20m,in,Summer,1.2,Premier Liga,2021,2021/2022
FC Sochi,Sergey Terekhov,31,Left-Back,Orenburg,€335Th.,in,Summer,0.335,Premier Liga,2021,2021/2022
FC Sochi,Rodrigão,25,Centre-Back,Gil Vicente,free transfer,in,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Mateo Barac,26,Centre-Back,Rapid Vienna,free transfer,in,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Danila Prokhin,20,Centre-Back,Rostov,loan transfer,in,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Dmitri Vorobyev,23,Centre-Forward,Orenburg,loan transfer,in,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Nikita Koldunov,21,Central Midfield,Zenit 2 S-Pb,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
FC Sochi,Igor Yurganov,27,Centre-Back,Baltika,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
FC Sochi,Pavel Shakuro,23,Left-Back,Irtysh Omsk,"End of loanJun 30, 2021",in,Summer,0,Premier Liga,2021,2021/2022
FC Sochi,Danil Prutsev,21,Central Midfield,KS Samara,€600Th.,out,Summer,0.6,Premier Liga,2021,2021/2022
FC Sochi,Miha Mevlja,31,Centre-Back,Alanyaspor,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Nikita Koldunov,21,Central Midfield,Zenit 2 S-Pb,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Elmir Nabiullin,26,Left-Back,Khimki,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Ivan Novoseltsev,29,Centre-Back,Arsenal Tula,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Aleksey Pomerko,31,Central Midfield,Torpedo Moscow,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
FC Sochi,Anton Zabolotnyi,30,Centre-Forward,CSKA Moscow,free transfer,out,Summer,NA,Premier Liga,2021,2021/2022
