club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Barnsley FC,Patrick Schmidt,23,Centre-Forward,Esbjerg fB,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Barnsley FC,Rémy Vita,21,Left-Back,FC Bayern II,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Barnsley FC,Amine Bassi,24,Attacking Midfield,FC Metz,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Birmingham City,Fran Villalba,24,Attacking Midfield,Sporting Gijón,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Birmingham City,Iván Sánchez,29,Right Winger,Real Valladolid,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Birmingham City,Fran Villalba,24,Attacking Midfield,Sporting Gijón,€500Th.,out,Summer,0.5,Championship,2022,2022/2023
Birmingham City,Tahith Chong,22,Right Winger,Man Utd,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Blackburn Rovers,Deyovaisio Zeefuik,24,Right-Back,Hertha BSC,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Cardiff City,Cody Drameh,20,Right-Back,Leeds,"End of loanMay 31, 2022",out,Summer,0,Championship,2022,2022/2023
Coventry City,Marcel Hilßner,27,Right Winger,FSV Zwickau,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Coventry City,Julien Da Costa,26,Right-Back,Portimonense,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Derby County,Festy Ebosele,19,Right-Back,Udinese Calcio,free transfer,out,Summer,NA,Championship,2022,2022/2023
Fulham FC,André Zambo Anguissa,26,Defensive Midfield,SSC Napoli,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Fulham FC,Thorsteinn Antonsson,18,Centre-Back,Stjarnan,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Hull City,Allahyar Sayyadmanesh,21,Centre-Forward,Fenerbahce,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Middlesbrough FC,Chuba Akpom,26,Centre-Forward,PAOK Salonika,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Middlesbrough FC,Dejan Stojanovic,28,Goalkeeper,FC Ingolstadt,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Middlesbrough FC,Andraz Sporar,28,Centre-Forward,Sporting CP,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Middlesbrough FC,James Léa Siliki,26,Central Midfield,Stade Rennais,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Millwall FC,Mahlon Romeo,26,Right-Back,Portsmouth,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Nottingham Forest,Nikolas Ioannou,26,Left-Back,Como,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Nottingham Forest,Nuno Da Costa,31,Centre-Forward,SM Caen,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Nottingham Forest,Carl Jenkinson,30,Right-Back,Melbourne City,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Nottingham Forest,Mohamed Dräger,26,Right-Back,FC Luzern,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Preston North End,Adam O'Reilly,21,Central Midfield,St. Pat's,"End of loanJul 31, 2022",in,Summer,0,Championship,2022,2022/2023
Queens Park Rangers,Jordy de Wijs,27,Centre-Back,F. Düsseldorf,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Reading FC,George Puscas,26,Centre-Forward,Pisa,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Sheffield United,Michael Verrips,25,Goalkeeper,Fortuna Sittard,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Sheffield United,Lys Mousset,26,Centre-Forward,Salernitana,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Sheffield United,Michael Verrips,25,Goalkeeper,Fortuna Sittard,?,out,Summer,NA,Championship,2022,2022/2023
Sheffield United,Filip Uremovic,25,Centre-Back,Rubin Kazan,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Stoke City,Romaine Sawyers,30,Attacking Midfield,West Brom,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Stoke City,Josh Maja,23,Centre-Forward,G. Bordeaux,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
Swansea City,Harry Jones,17,Right-Back,Barry Town,"End of loanJun 30, 2021",in,Summer,0,Championship,2022,2022/2023
Swansea City,Hannes Wolf,23,Attacking Midfield,Bor. M'gladbach,"End of loanJun 30, 2022",out,Summer,0,Championship,2022,2022/2023
West Bromwich Albion,Romaine Sawyers,30,Attacking Midfield,Stoke City,"End of loanJun 30, 2022",in,Summer,0,Championship,2022,2022/2023
Stoke City,Tom Edwards,23,Right-Back,New York,"End of loanDec 31, 2022",in,Winter,0,Championship,2022,2022/2023
