club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Arsenal FC,Matt Turner,28,Goalkeeper,New England,€6.36m,in,Summer,6.36,Premier League,2022,2022/2023
Arsenal FC,Konstantinos Mavropanos,24,Centre-Back,VfB Stuttgart,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Mattéo Guendouzi,23,Central Midfield,Marseille,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,William Saliba,21,Centre-Back,Marseille,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Lucas Torreira,26,Defensive Midfield,Fiorentina,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Reiss Nelson,22,Right Winger,Feyenoord,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Rúnar Alex Rúnarsson,27,Goalkeeper,OH Leuven,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Héctor Bellerín,27,Right-Back,Real Betis,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Ainsley Maitland-Niles,24,Right Midfield,AS Roma,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Pablo Marí,28,Centre-Back,Udinese Calcio,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Auston Trusty,23,Centre-Back,Colorado,"End of loanJul 17, 2022",in,Summer,0,Premier League,2022,2022/2023
Arsenal FC,Mattéo Guendouzi,23,Central Midfield,Marseille,€11.00m,out,Summer,11,Premier League,2022,2022/2023
Aston Villa,Lovre Kalinic,32,Goalkeeper,Hajduk Split,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Aston Villa,Frédéric Guilbert,27,Right-Back,R. Strasbourg,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Aston Villa,Anwar El Ghazi,27,Right Winger,Everton,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Aston Villa,Trezeguet,27,Left Winger,Basaksehir,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Aston Villa,Philippe Coutinho,30,Left Winger,Barcelona,"End of loanJun 30, 2022",out,Summer,0,Premier League,2022,2022/2023
Aston Villa,Robin Olsen,32,Goalkeeper,AS Roma,"End of loanJun 30, 2022",out,Summer,0,Premier League,2022,2022/2023
Brentford FC,Halil Dervisoglu,22,Centre-Forward,Galatasaray,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brentford FC,Joel Valencia,27,Left Winger,Alcorcón,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brentford FC,Mads Bidstrup,21,Central Midfield,Nordsjaelland,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brentford FC,Luka Racic,23,Centre-Back,HB Köge,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brentford FC,Jonas Lössl,33,Goalkeeper,FC Midtjylland,"End of loanJun 30, 2022",out,Summer,0,Premier League,2022,2022/2023
Brighton & Hove Albion,Florin Andone,29,Centre-Forward,Cádiz CF,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brighton & Hove Albion,Michal Karbownik,21,Left-Back,Olympiacos,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brighton & Hove Albion,Andi Zeqiri,23,Centre-Forward,FC Augsburg,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brighton & Hove Albion,Kacper Kozlowski,18,Central Midfield,Union SG,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brighton & Hove Albion,Leo Östigard,22,Centre-Back,Genoa,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brighton & Hove Albion,Deniz Undav,25,Centre-Forward,Union SG,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Brighton & Hove Albion,Kjell Scherpen,22,Goalkeeper,KV Oostende,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Chelsea FC,Michy Batshuayi,28,Centre-Forward,Besiktas,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Chelsea FC,Emerson,27,Left-Back,Olympique Lyon,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Chelsea FC,Matt Miazga,26,Centre-Back,Alavés,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Chelsea FC,Ethan Ampadu,21,Centre-Back,Venezia,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Chelsea FC,Charly Musonda Jr.,25,Attacking Midfield,Without Club,-,out,Summer,0,Premier League,2022,2022/2023
Chelsea FC,Saúl Ñíguez,27,Central Midfield,Atlético Madrid,"End of loanJun 30, 2022",out,Summer,0,Premier League,2022,2022/2023
Crystal Palace,Jacob Montes,23,Attacking Midfield,Waasl.-Beveren,"End of loanJan 7, 2022",in,Summer,0,Premier League,2022,2022/2023
Crystal Palace,Jacob Montes,23,Attacking Midfield,RWDM,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Everton FC,João Virgínia,22,Goalkeeper,Sporting CP,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Everton FC,Niels Nkounkou,21,Left-Back,Standard Liège,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Everton FC,Jean-Philippe Gbamin,26,Defensive Midfield,CSKA Moscow,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Everton FC,Anwar El Ghazi,27,Right Winger,Aston Villa,"End of loanJun 30, 2022",out,Summer,0,Premier League,2022,2022/2023
Leeds United,Mateusz Bogusz,20,Attacking Midfield,UD Ibiza,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Leeds United,Kiko Casilla,35,Goalkeeper,Elche CF,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Leeds United,Hélder Costa,28,Right Winger,Valencia,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Leeds United,Cody Drameh,20,Right-Back,Cardiff,"End of loanMay 31, 2022",in,Summer,0,Premier League,2022,2022/2023
Leicester City,Dennis Praet,28,Central Midfield,Torino,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Leicester City,Ademola Lookman,24,Left Winger,RB Leipzig,"End of loanJun 30, 2022",out,Summer,0,Premier League,2022,2022/2023
Liverpool FC,Marko Grujic,26,Defensive Midfield,FC Porto,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Liverpool FC,Marko Grujic,26,Defensive Midfield,FC Porto,€9.00m,out,Summer,9,Premier League,2022,2022/2023
Manchester City,Pedro Porro,22,Right-Back,Sporting CP,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Nahuel Bustos,23,Centre-Forward,Girona,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Ante Palaversa,22,Defensive Midfield,KV Kortrijk,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Diego Rosa,19,Central Midfield,Lommel SK,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Issa Kaboré,21,Right-Back,Troyes,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Marlos Moreno,25,Right Winger,KV Kortrijk,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Ryotaro Meshino,24,Left Winger,Estoril Praia,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Arijanet Muric,23,Goalkeeper,Adana Demirspor,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Daniel Arzani,23,Left Winger,Lommel SK,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Ko Itakura,25,Centre-Back,FC Schalke 04,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Yangel Herrera,24,Central Midfield,Espanyol,"End of loanJun 30, 2022",in,Summer,0,Premier League,2022,2022/2023
Manchester City,Julián Álvarez,22,Centre-Forward,River Plate,"End of loanJul 7, 2022",in,Summer,0,Premier League,2022,2022/2023
