club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
LOSC Lille,Lucas Chevalier,20,Goalkeeper,Valenciennes FC,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
LOSC Lille,Yusuf Yazici,25,Attacking Midfield,CSKA Moscow,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
LOSC Lille,Ivo Grbic,26,Goalkeeper,Atlético Madrid,"End of loanJun 30, 2022",out,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Thierno Baldé,20,Right-Back,AC Le Havre,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Alphonse Areola,29,Goalkeeper,West Ham,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Marcin Bulka,22,Goalkeeper,OGC Nice,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Timothée Pembélé,19,Right-Back,G. Bordeaux,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Arnaud Kalimuendo,20,Centre-Forward,Lens,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Pablo Sarabia,30,Right Winger,Sporting CP,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Rafinha,29,Central Midfield,Real Sociedad,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Kenny Nagera,20,Centre-Forward,US Avranches,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Teddy Alloh,20,Left-Back,KAS Eupen,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Sergio Rico,28,Goalkeeper,RCD Mallorca,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
Paris Saint-Germain,Nuno Mendes,20,Left-Back,Sporting CP,"End of loanJun 30, 2022",out,Summer,0,Ligue 1,2022,2022/2023
AS Monaco,Jean-Eudes Aholou,28,Defensive Midfield,R. Strasbourg,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
AS Monaco,Benjamin Lecomte,31,Goalkeeper,Atlético Madrid,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
AS Monaco,Antonio Barreca,27,Left-Back,Lecce,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
AS Monaco,Anthony Musaba,21,Right Winger,Heerenveen,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
AS Monaco,Willem Geubbels,20,Left Winger,FC Nantes,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
AS Monaco,Pietro Pellegri,21,Centre-Forward,Torino,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
AS Monaco,Strahinja Pavlovic,21,Centre-Back,FC Basel,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
AS Monaco,Jean-Eudes Aholou,28,Defensive Midfield,R. Strasbourg,€3.00m,out,Summer,3,Ligue 1,2022,2022/2023
Olympique Lyon,Cenk Özkacar,21,Centre-Back,OH Leuven,"End of loanJun 30, 2022",in,Summer,0,Ligue 1,2022,2022/2023
