,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Samassi Abou,fr FRA,FW,West Ham,24,1973,19,12,"1,118",12.4,5,2,5,0,0,2,1,0.40,0.16,0.56,0.40,0.56,Matches,1997-1998
1,Tony Adams,eng ENG,DF,Arsenal,30,1966,26,26,"2,340",26.0,3,1,3,0,0,5,0,0.12,0.04,0.15,0.12,0.15,Matches,1997-1998
2,Jan Åge Fjørtoft,no NOR,FW,Barnsley,30,1967,15,12,954,10.6,6,2,6,0,0,0,0,0.57,0.19,0.75,0.57,0.75,Matches,1997-1998
3,Junior Agogo,gh GHA,FW,Sheffield Weds,17,1979,1,0,14,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
4,Philippe Albert,be BEL,DF,Newcastle Utd,29,1967,23,21,"1,819",20.2,0,2,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,Matches,1997-1998
5,Niclas Alexandersson,se SWE,MF,Sheffield Weds,25,1971,6,5,405,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
6,Hasney Aljofree,eng ENG,DF,Bolton,19,1978,2,2,180,2.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
7,Graham Allen,eng ENG,DF,Everton,20,1977,5,2,200,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
8,Rory Allen,eng ENG,FW,Tottenham,19,1977,4,1,75,0.8,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
9,Paulo Alves,pt POR,FW,West Ham,27,1969,4,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
10,Anders Andersson,se SWE,"FW,MF",Blackburn,23,1974,4,1,78,0.9,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
11,Andreas Andersson,se SWE,FW,Newcastle Utd,23,1974,12,10,78,0.9,2,1,2,0,0,0,0,2.31,1.15,3.46,2.31,3.46,Matches,1997-1998
12,Darren Anderton,eng ENG,MF,Tottenham,25,1972,15,7,653,7.3,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,1997-1998
13,Tore André Flo,no NOR,FW,Chelsea,24,1973,34,16,"1,719",19.1,11,2,11,0,0,0,0,0.58,0.10,0.68,0.58,0.68,Matches,1997-1998
14,Nicolas Anelka,fr FRA,FW,Arsenal,18,1979,26,16,"1,490",16.6,6,6,6,0,0,2,0,0.36,0.36,0.72,0.36,0.72,Matches,1997-1998
15,Matty Appleby,eng ENG,MF,Barnsley,25,1972,15,13,"1,056",11.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
16,Neal Ardley,eng ENG,MF,Wimbledon,24,1972,34,31,"2,723",30.3,2,2,1,1,1,2,0,0.07,0.07,0.13,0.03,0.10,Matches,1997-1998
17,Chris Armstrong,eng ENG,FW,Tottenham,26,1971,19,13,"1,284",14.3,5,0,5,0,0,2,0,0.35,0.00,0.35,0.35,0.35,Matches,1997-1998
18,Pegguy Arphexad,fr FRA,GK,Leicester City,24,1973,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
19,Aljoša Asanović,hr CRO,MF,Derby County,31,1965,4,3,253,2.8,1,1,0,1,,1,0,0.36,0.36,0.71,0.00,0.36,Matches,1997-1998
20,Faustino Asprilla,co COL,FW,Newcastle Utd,27,1969,10,8,703,7.8,2,2,2,0,0,0,0,0.26,0.26,0.51,0.26,0.51,Matches,1997-1998
21,Peter Atherton,eng ENG,"DF,MF",Sheffield Weds,27,1970,27,27,"2,334",25.9,3,1,3,0,0,8,0,0.12,0.04,0.15,0.12,0.15,Matches,1997-1998
22,Espen Baardsen,no NOR,GK,Tottenham,19,1977,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
23,Celestine Babayaro,ng NGA,"DF,MF",Chelsea,18,1978,8,8,649,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
24,Phil Babb,ie IRL,DF,Liverpool,26,1970,19,18,"1,626",18.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
26,Francesco Baiano,it ITA,FW,Derby County,29,1968,34,31,"2,542",28.2,12,6,12,0,0,2,0,0.42,0.21,0.64,0.42,0.64,Matches,1997-1998
27,Michael Ball,eng ENG,DF,Everton,17,1979,25,21,"1,886",21.0,1,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,1997-1998
28,Nick Barmby,eng ENG,"FW,MF",Everton,23,1974,30,26,"2,325",25.8,2,7,2,0,0,7,0,0.08,0.27,0.35,0.08,0.35,Matches,1997-1998
29,Darren Barnard,wls WAL,"DF,MF",Barnsley,25,1971,35,33,"2,919",32.4,2,4,2,0,0,6,1,0.06,0.12,0.18,0.06,0.18,Matches,1997-1998
30,John Barnes,eng ENG,"DF,FW",Newcastle Utd,33,1963,26,22,"1,842",20.5,6,1,5,1,2,0,0,0.29,0.05,0.34,0.24,0.29,Matches,1997-1998
31,Earl Barrett,eng ENG,DF,Sheffield Weds,30,1967,10,10,900,10.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
32,Earl Barrett,eng ENG,DF,Everton,30,1967,13,12,962,10.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
33,Gareth Barry,eng ENG,MF,Aston Villa,16,1981,2,1,132,1.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
34,Warren Barton,eng ENG,DF,Newcastle Utd,28,1969,23,17,"1,659",18.4,3,1,3,0,0,8,0,0.16,0.05,0.22,0.16,0.22,Matches,1997-1998
35,Steve Basham,eng ENG,FW,Southampton,19,1977,9,0,96,1.1,0,1,0,0,0,0,0,0.00,0.94,0.94,0.00,0.94,Matches,1997-1998
36,David Batty,eng ENG,MF,Newcastle Utd,28,1968,32,32,"2,728",30.3,1,1,1,0,0,10,3,0.03,0.03,0.07,0.03,0.07,Matches,1997-1998
37,Peter Beagrie,eng ENG,FW,Everton,31,1965,6,4,314,3.5,0,1,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,Matches,1997-1998
38,Peter Beardsley,eng ENG,"FW,MF",Bolton,36,1961,17,14,"1,197",13.3,2,1,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23,Matches,1997-1998
39,James Beattie,eng ENG,FW,Blackburn,19,1978,3,0,41,0.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
40,David Beckham,eng ENG,MF,Manchester Utd,22,1975,37,34,"3,086",34.3,9,13,9,0,0,6,0,0.26,0.38,0.64,0.26,0.64,Matches,1997-1998
41,Mark Beeney,eng ENG,GK,Leeds United,29,1967,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
42,Francis Benali,eng ENG,DF,Southampton,28,1968,33,32,"2,806",31.2,1,1,1,0,0,2,2,0.03,0.03,0.06,0.03,0.06,Matches,1997-1998
43,Marcus Bent,eng ENG,FW,Crystal Palace,19,1978,16,10,931,10.3,5,1,5,0,0,2,0,0.48,0.10,0.58,0.48,0.58,Matches,1997-1998
44,John Beresford,eng ENG,DF,Southampton,30,1966,10,10,889,9.9,0,,,,,0,0,0.00,,,,,Matches,1997-1998
45,John Beresford,eng ENG,DF,Newcastle Utd,30,1966,17,17,"1,478",16.4,2,,,,,2,0,0.12,,,,,Matches,1997-1998
46,Henning Berg,no NOR,DF,Manchester Utd,27,1969,27,23,"2,233",24.8,1,2,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,Matches,1997-1998
47,Patrik Berger,cz CZE,MF,Liverpool,23,1973,22,6,769,8.5,3,1,3,0,0,0,0,0.35,0.12,0.47,0.35,0.47,Matches,1997-1998
48,Dennis Bergkamp,nl NED,FW,Arsenal,28,1969,28,28,"2,447",27.2,16,11,14,2,3,7,1,0.59,0.40,0.99,0.51,0.92,Matches,1997-1998
49,Guðni Bergsson,is ISL,DF,Bolton,32,1965,35,34,"2,992",33.2,2,3,2,0,0,9,1,0.06,0.09,0.15,0.06,0.15,Matches,1997-1998
50,Eyal Berkovic,il ISR,MF,West Ham,25,1972,35,34,"2,810",31.2,7,10,7,0,0,2,0,0.22,0.32,0.54,0.22,0.54,Matches,1997-1998
52,Nicola Berti,it ITA,MF,Tottenham,30,1967,17,17,"1,418",15.8,3,3,3,0,0,5,0,0.19,0.19,0.38,0.19,0.38,Matches,1997-1998
53,Slaven Bilić,hr CRO,DF,Everton,28,1968,24,22,"1,937",21.5,0,1,0,0,0,7,3,0.00,0.05,0.05,0.00,0.05,Matches,1997-1998
54,Patrizio Billio,it ITA,MF,Crystal Palace,23,1974,3,1,93,1.0,0,,0,0,,1,0,0.00,,,0.00,,Matches,1997-1998
55,Ian Bishop,eng ENG,MF,West Ham,32,1965,3,3,270,3.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
56,Dean Blackwell,eng ENG,DF,Wimbledon,27,1969,35,35,"3,066",34.1,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,1997-1998
57,Nathan Blake,wls WAL,FW,Bolton,25,1972,35,35,"3,085",34.3,12,5,12,0,0,6,1,0.35,0.15,0.50,0.35,0.50,Matches,1997-1998
58,Patrick Blondeau,fr FRA,DF,Sheffield Weds,29,1968,6,5,488,5.4,0,1,0,0,0,1,1,0.00,0.18,0.18,0.00,0.18,Matches,1997-1998
59,Luís Boa Morte,pt POR,"FW,MF",Arsenal,19,1977,15,4,430,4.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
60,George Boateng,nl NED,MF,Coventry City,21,1975,14,14,"1,140",12.7,1,2,1,0,0,4,1,0.08,0.16,0.24,0.08,0.24,Matches,1997-1998
61,Lars Bohinen,no NOR,MF,Derby County,27,1969,24,14,"1,502",16.7,2,3,2,0,0,1,0,0.12,0.18,0.30,0.12,0.30,Matches,1997-1998
62,Willie Boland,ie IRL,MF,Coventry City,21,1975,19,8,927,10.3,0,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches,1997-1998
63,Ivano Bonetti,it ITA,MF,Crystal Palace,32,1964,2,0,51,0.6,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
64,Andy Booth,eng ENG,FW,Sheffield Weds,23,1973,23,21,"1,809",20.1,7,2,7,0,0,1,1,0.35,0.10,0.45,0.35,0.45,Matches,1997-1998
65,Jovo Bosančić,rs SRB,MF,Barnsley,26,1970,17,13,"1,192",13.2,2,0,1,1,2,7,1,0.15,0.00,0.15,0.08,0.08,Matches,1997-1998
66,Mark Bosnich,au AUS,GK,Aston Villa,25,1972,30,30,"2,700",30.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
67,Steve Bould,eng ENG,DF,Arsenal,34,1962,24,21,"1,973",21.9,0,2,0,0,0,10,0,0.00,0.09,0.09,0.00,0.09,Matches,1997-1998
68,Jason Bowen,wls WAL,FW,Southampton,24,1972,3,1,131,1.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
