,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Ignazio Abate,it ITA,"DF,MF",Empoli,20,1986,24,9,"1,167",13.0,1,2,1,0,0,5,0,0.08,0.15,0.23,0.08,0.23,Matches,2007-2008
1,Pietro Accardi,it ITA,DF,Sampdoria,24,1982,22,18,"1,635",18.2,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,2007-2008
2,Robert Acquafresca,it ITA,FW,Cagliari,19,1987,32,20,"1,714",19.0,10,1,8,2,2,4,0,0.53,0.05,0.58,0.42,0.47,Matches,2007-2008
3,Daniele Adani,it ITA,DF,Empoli,33,1974,6,6,434,4.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
4,Adriano,br BRA,DF,Atalanta,25,1982,1,0,52,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
5,Adriano,br BRA,FW,Inter,25,1982,4,3,242,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches,2007-2008
6,Federico Agliardi,it ITA,GK,Palermo,24,1983,10,8,855,9.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
7,Alessandro Agostini,it ITA,DF,Cagliari,28,1979,28,27,"2,386",26.5,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
8,Sergio Almirón,ar ARG,MF,Juventus,26,1980,9,5,487,5.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
9,Édgar Álvarez,hn HON,"DF,MF",Livorno,27,1980,8,3,249,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
10,Édgar Álvarez,hn HON,"DF,MF",Roma,27,1980,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
