,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Francesco Acerbi,it ITA,DF,Lazio,31,1988,36,36,"3,162",35.1,2,2,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.6,3.6,0.06,0.05,0.10,0.06,0.10,Matches,2019-2020
1,Bobby Adekanye,nl NED,FW,Lazio,20,1999,11,0,188,2.1,1,0,1,0,0,1,0,0.48,0.00,0.48,0.48,0.48,1.7,1.7,0.1,1.8,0.82,0.06,0.88,0.82,0.88,Matches,2019-2020
2,Claud Adjapong,it ITA,DF,Hellas Verona,21,1998,5,2,231,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.22,0.00,0.22,0.22,0.22,Matches,2019-2020
3,Lucien Agoume,fr FRA,MF,Inter,17,2002,3,0,68,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08,Matches,2019-2020
4,Kevin Agudelo,co COL,"MF,FW",Fiorentina,20,1998,3,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.45,0.30,0.75,0.45,0.75,Matches,2019-2020
5,Kevin Agudelo,co COL,"MF,FW",Genoa,20,1998,10,7,666,7.4,1,1,1,0,0,5,1,0.14,0.14,0.27,0.14,0.27,1.1,1.1,1.2,2.3,0.15,0.16,0.31,0.15,0.31,Matches,2019-2020
6,Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,28,1990,10,2,230,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,2019-2020
7,Ola Aina,ng NGA,DF,Torino,22,1996,32,20,"2,079",23.1,0,2,0,0,0,8,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,2.2,2.6,0.02,0.10,0.11,0.02,0.11,Matches,2019-2020
8,Luis Alberto,es ESP,MF,Lazio,26,1992,36,36,"3,113",34.6,6,15,5,1,1,5,0,0.17,0.43,0.61,0.14,0.58,7.2,6.4,10.7,17.1,0.21,0.31,0.52,0.18,0.49,Matches,2019-2020
9,Enrico Alfonso,it ITA,GK,Brescia,31,1988,4,4,279,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
10,Allan,br BRA,MF,Napoli,28,1991,23,16,"1,280",14.2,2,1,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,0.7,0.7,1.1,1.8,0.05,0.08,0.12,0.05,0.12,Matches,2019-2020
11,Bruno Alves,pt POR,DF,Parma,37,1981,33,31,"2,671",29.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,1.5,0.03,0.02,0.05,0.03,0.05,Matches,2019-2020
12,Sofyan Amrabat,ma MAR,MF,Hellas Verona,22,1996,34,33,"2,919",32.4,1,1,0,1,1,10,2,0.03,0.03,0.06,0.00,0.03,1.9,1.1,1.6,2.8,0.06,0.05,0.11,0.04,0.09,Matches,2019-2020
13,Djavan Anderson,nl NED,"DF,MF",Lazio,24,1995,6,2,167,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches,2019-2020
14,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6,5,531,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
15,Peter Ankersen,dk DEN,DF,Genoa,28,1990,19,11,"1,063",11.8,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,0.7,1.6,0.07,0.06,0.13,0.07,0.13,Matches,2019-2020
16,Cristian Ansaldi,ar ARG,"DF,MF",Torino,32,1986,27,21,"1,768",19.6,4,4,4,0,0,9,0,0.20,0.20,0.41,0.20,0.41,1.4,1.4,3.0,4.4,0.07,0.15,0.22,0.07,0.22,Matches,2019-2020
17,Mirko Antonucci,it ITA,"FW,MF",Roma,20,1999,2,0,82,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.21,0.00,0.21,0.21,0.21,Matches,2019-2020
18,Guilherme Arana,br BRA,DF,Atalanta,22,1997,4,0,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.03,0.03,0.06,0.03,0.06,Matches,2019-2020
19,Nicolò Armini,it ITA,DF,Lazio,18,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
20,Kwadwo Asamoah,gh GHA,DF,Inter,30,1988,8,7,639,7.1,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.1,0.1,0.7,0.8,0.01,0.10,0.11,0.01,0.11,Matches,2019-2020
21,Kristoffer Askildsen,no NOR,MF,Sampdoria,18,2001,4,0,76,0.8,1,0,1,0,0,2,1,1.18,0.00,1.18,1.18,1.18,0.0,0.0,0.1,0.1,0.05,0.12,0.16,0.05,0.16,Matches,2019-2020
22,Emil Audero,it ITA,GK,Sampdoria,22,1997,36,36,"3,240",36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
23,Tommaso Augello,it ITA,DF,Sampdoria,24,1994,17,12,"1,135",12.6,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,1.5,1.5,0.00,0.12,0.12,0.00,0.12,Matches,2019-2020
24,Florian Ayé,fr FRA,"FW,MF",Brescia,22,1997,22,15,"1,380",15.3,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,3.1,3.1,0.5,3.6,0.20,0.03,0.23,0.20,0.23,Matches,2019-2020
26,Khouma Babacar,sn SEN,FW,Lecce,26,1993,25,17,"1,422",15.8,3,0,3,0,2,4,0,0.19,0.00,0.19,0.19,0.19,6.1,4.4,0.7,5.1,0.39,0.04,0.43,0.28,0.32,Matches,2019-2020
27,Milan Badelj,hr CRO,MF,Fiorentina,30,1989,22,20,"1,585",17.6,1,0,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,1.3,1.3,1.0,2.3,0.08,0.06,0.13,0.08,0.13,Matches,2019-2020
28,Marco Ballarini,it ITA,MF,Udinese,18,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
29,Mario Balotelli,it ITA,FW,Brescia,28,1990,19,16,"1,404",15.6,5,0,5,0,0,6,1,0.32,0.00,0.32,0.32,0.32,7.2,7.2,0.5,7.6,0.46,0.03,0.49,0.46,0.49,Matches,2019-2020
30,Mattia Bani,it ITA,DF,Bologna,25,1993,27,26,"2,207",24.5,4,0,4,0,0,13,1,0.16,0.00,0.16,0.16,0.16,3.3,3.3,0.0,3.4,0.14,0.00,0.14,0.14,0.14,Matches,2019-2020
31,Antonín Barák,cz CZE,MF,Udinese,24,1994,8,1,194,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.08,0.14,0.06,0.14,Matches,2019-2020
32,Antonín Barák,cz CZE,MF,Lecce,24,1994,16,15,"1,369",15.2,2,1,2,0,0,0,0,0.13,0.07,0.20,0.13,0.20,3.2,3.2,1.3,4.6,0.21,0.09,0.30,0.21,0.30,Matches,2019-2020
33,Nicolò Barella,it ITA,MF,Inter,22,1997,27,23,"2,013",22.4,1,4,1,0,0,11,0,0.04,0.18,0.22,0.04,0.22,1.6,1.6,1.6,3.2,0.07,0.07,0.14,0.07,0.14,Matches,2019-2020
34,Antonino Barillà,it ITA,MF,Parma,31,1988,26,20,"1,688",18.8,1,2,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16,1.2,1.2,2.1,3.3,0.06,0.11,0.17,0.06,0.17,Matches,2019-2020
35,Antonio Barreca,it ITA,"DF,MF",Genoa,24,1995,18,11,"1,095",12.2,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.4,0.6,0.01,0.03,0.05,0.01,0.05,Matches,2019-2020
36,Édgar Barreto,py PAR,MF,Sampdoria,35,1984,2,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,2019-2020
37,Musa Barrow,gm GAM,"FW,MF",Atalanta,20,1998,7,1,190,2.1,0,2,0,0,1,0,0,0.00,0.95,0.95,0.00,0.95,1.8,1.0,0.6,1.6,0.86,0.28,1.14,0.50,0.78,Matches,2019-2020
38,Musa Barrow,gm GAM,FW,Bologna,20,1998,18,14,"1,354",15.0,9,2,8,1,1,1,0,0.60,0.13,0.73,0.53,0.66,5.9,5.2,3.2,8.4,0.39,0.21,0.61,0.34,0.56,Matches,2019-2020
39,Daniele Baselli,it ITA,MF,Torino,27,1992,16,16,"1,278",14.2,0,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,1.0,1.7,0.05,0.07,0.12,0.05,0.12,Matches,2019-2020
40,Alessandro Bastoni,it ITA,DF,Inter,20,1999,25,21,"1,921",21.3,2,0,2,0,0,9,1,0.09,0.00,0.09,0.09,0.09,1.2,1.2,1.6,2.8,0.06,0.07,0.13,0.06,0.13,Matches,2019-2020
41,Bastos,ao ANG,DF,Lazio,28,1991,16,6,765,8.5,1,0,1,0,0,4,0,0.12,0.00,0.12,0.12,0.12,0.8,0.8,0.0,0.8,0.09,0.00,0.09,0.09,0.09,Matches,2019-2020
42,Rodrigo Becão,br BRA,DF,Udinese,23,1996,29,24,"2,213",24.6,1,1,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,0.5,0.5,0.3,0.9,0.02,0.01,0.04,0.02,0.04,Matches,2019-2020
43,Asmir Begović,ba BIH,GK,Milan,32,1987,2,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
44,Valon Behrami,ch SUI,MF,Genoa,34,1985,17,13,"1,107",12.3,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,2019-2020
