,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Mário Tilico,br BRA,FW,Atlético Madrid,28,1965,1,0,13,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
1,Antonio Acosta Rivera,es ESP,MF,Lleida,21,1971,9,6,509,5.7,0,,0,0,,3,0,0.00,,,0.00,,Matches,1993-1994
2,Mutiu Adepoju,ng NGA,MF,Racing Sant,22,1970,29,16,"1,653",18.4,3,,3,0,,5,0,0.16,,,0.16,,Matches,1993-1994
3,Wilfred Agbonavbare,ng NGA,GK,Rayo Vallecano,26,1966,32,32,"2,880",32.0,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
4,Joseba Agirre,es ESP,MF,Celta Vigo,29,1964,11,9,731,8.1,1,,1,0,,3,0,0.12,,,0.12,,Matches,1993-1994
5,Borja Agirretxu,es ESP,DF,Celta Vigo,24,1968,17,10,"1,044",11.6,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
6,Pedro Aguado,,,Rayo Vallecano,21,1972,3,3,200,2.2,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
7,Xavier Aguado,es ESP,DF,Zaragoza,25,1968,35,35,"3,112",34.6,2,,2,0,,11,0,0.06,,,0.06,,Matches,1993-1994
8,Albert Aguilá,es ESP,FW,Lleida,22,1970,23,15,"1,436",16.0,3,,3,0,,5,0,0.19,,,0.19,,Matches,1993-1994
9,Carlos Aguilera,es ESP,DF,Tenerife,24,1969,34,34,"2,912",32.4,1,,1,0,,4,0,0.03,,,0.03,,Matches,1993-1994
10,Iñaki Álaba,es ESP,DF,Real Sociedad,26,1966,13,13,"1,144",12.7,0,,0,0,,5,0,0.00,,,0.00,,Matches,1993-1994
11,Juanma Alamillos,es ESP,DF,Atlético Madrid,20,1973,2,1,62,0.7,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
12,Alberto,es ESP,GK,Real Sociedad,24,1969,34,34,"3,060",34.0,0,,,,,0,0,0.00,,,,,Matches,1993-1994
13,Alberto Albístegui,es ESP,DF,Real Sociedad,28,1964,30,28,"2,525",28.1,1,,1,0,,4,0,0.04,,,0.04,,Matches,1993-1994
14,Alcázar,es ESP,DF,Rayo Vallecano,26,1967,13,13,"1,022",11.4,0,,0,0,,2,2,0.00,,,0.00,,Matches,1993-1994
15,Manuel Alfaro,es ESP,FW,Valladolid,22,1971,5,3,220,2.4,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
16,Pablo Alfaro,es ESP,DF,Racing Sant,24,1969,36,36,"3,232",35.9,1,,1,0,,9,2,0.03,,,0.03,,Matches,1993-1994
17,Imanol Alguacil,es ESP,DF,Real Sociedad,22,1971,14,11,907,10.1,2,,2,0,,3,0,0.20,,,0.20,,Matches,1993-1994
18,Bittor Alkiza,es ESP,MF,Real Sociedad,22,1970,35,30,"2,652",29.5,4,,4,0,,2,0,0.14,,,0.14,,Matches,1993-1994
19,Rafael Alkorta,es ESP,DF,Real Madrid,24,1968,32,32,"2,857",31.7,0,,0,0,,7,1,0.00,,,0.00,,Matches,1993-1994
20,Txema Alonso,es ESP,"DF,MF",Lleida,22,1971,34,34,"2,767",30.7,1,,1,0,,8,2,0.03,,,0.03,,Matches,1993-1994
21,Vicente Álvarez Núñez,es ESP,MF,Celta Vigo,33,1960,11,10,839,9.3,0,,0,0,,2,0,0.00,,,0.00,,Matches,1993-1994
22,Armando Álvarez,es ESP,DF,Oviedo,23,1970,36,36,"3,194",35.5,1,,1,0,,10,0,0.03,,,0.03,,Matches,1993-1994
23,José Amavisca,es ESP,"FW,MF",Valladolid,22,1971,32,31,"2,812",31.2,6,,6,0,,4,0,0.19,,,0.19,,Matches,1993-1994
24,Guillermo Amor,es ESP,MF,Barcelona,25,1967,37,31,"2,909",32.3,8,,8,0,,7,0,0.25,,,0.25,,Matches,1993-1994
26,Jon Ander Lambea,es ESP,DF,Athletic Club,19,1973,2,2,135,1.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
27,Søren Andersen,dk DEN,FW,Lleida,23,1970,22,20,"1,563",17.4,2,,2,0,,2,1,0.12,,,0.12,,Matches,1993-1994
28,Ion Andoni Goikoetxea,es ESP,"DF,FW",Barcelona,27,1965,28,20,"1,919",21.3,0,,0,0,,6,0,0.00,,,0.00,,Matches,1993-1994
29,Stjepan Andrijašević,hr CRO,MF,Celta Vigo,26,1967,25,25,"2,182",24.2,9,,8,1,,2,0,0.37,,,0.33,,Matches,1993-1994
30,Genar Andrinúa,es ESP,DF,Athletic Club,29,1964,21,20,"1,709",19.0,1,,1,0,,6,0,0.05,,,0.05,,Matches,1993-1994
31,Miguel Ángel Benítez,py PAR,FW,Atlético Madrid,23,1970,7,2,268,3.0,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
32,Miguel Ángel Nadal,es ESP,"DF,MF",Barcelona,27,1966,33,27,"2,591",28.8,0,,0,0,,7,1,0.00,,,0.00,,Matches,1993-1994
33,José Ángel Uribarrena,es ESP,FW,Athletic Club,24,1969,15,8,814,9.0,1,,1,0,,2,0,0.11,,,0.11,,Matches,1993-1994
