,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Aly Abeid,mr MTN,DF,Levante,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.20,0.20,0.00,0.20,Matches,2017-2018
1,Antonio Adán,es ESP,GK,Betis,30,1987,30,30,"2,700",30.0,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matches,2017-2018
2,Aday,es ESP,"DF,MF",Girona,29,1987,31,20,"1,835",20.4,2,0,1,1,2,10,0,0.10,0.00,0.10,0.05,0.05,2.6,1.2,1.4,2.6,0.13,0.07,0.20,0.06,0.13,Matches,2017-2018
3,Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,33,21,"2,152",23.9,9,1,6,3,5,5,0,0.38,0.04,0.42,0.25,0.29,11.1,7.5,1.1,8.6,0.46,0.05,0.51,0.32,0.36,Matches,2017-2018
4,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,21,20,"1,828",20.3,0,4,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,1.1,1.2,0.00,0.06,0.06,0.00,0.06,Matches,2017-2018
5,Imanol Agirretxe,es ESP,"FW,MF",Real Sociedad,30,1987,11,2,232,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.45,0.02,0.47,0.45,0.47,Matches,2017-2018
6,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,15,14,"1,153",12.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.0,0.04,0.04,0.08,0.04,0.08,Matches,2017-2018
7,Ager Aketxe,es ESP,MF,Athletic Club,23,1993,3,0,37,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.20,0.00,0.20,0.20,0.20,Matches,2017-2018
8,David Alba,es ESP,DF,Getafe,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
9,Jordi Alba,es ESP,DF,Barcelona,28,1989,33,30,"2,744",30.5,2,8,2,0,0,7,0,0.07,0.26,0.33,0.07,0.33,2.2,2.2,4.3,6.5,0.07,0.14,0.21,0.07,0.21,Matches,2017-2018
