,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Jacques Abardonado,fr FRA,DF,Lorient,23,1978,28,26,"2,235",24.8,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,2001-2002
1,Éric Abidal,fr FRA,DF,Monaco,21,1979,14,7,698,7.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
2,Frédéric Adam,fr FRA,MF,Troyes,27,1973,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
3,Ishmael Addo,gh GHA,FW,Bastia,19,1982,2,0,29,0.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,2001-2002
4,Emmanuel Adebayor,tg TOG,FW,Metz,17,1984,10,9,709,7.9,2,1,2,0,0,2,0,0.25,0.13,0.38,0.25,0.38,Matches,2001-2002
5,Madjid Adjaoud,dz ALG,MF,Sedan,29,1971,8,2,278,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
6,Kodjo Afanou,fr FRA,DF,Bordeaux,23,1977,22,18,"1,608",17.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,2001-2002
7,Kuami Agboh,tg TOG,MF,Auxerre,23,1977,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
8,Agostinho,pt POR,MF,Paris S-G,25,1975,4,1,92,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
9,Hassan Ahamada,fr FRA,"FW,MF",Nantes,20,1981,16,6,658,7.3,2,1,2,0,0,3,0,0.27,0.14,0.41,0.27,0.41,Matches,2001-2002
10,Jimmy Algerino,fr FRA,DF,Sochaux,29,1971,11,11,958,10.6,0,2,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,2001-2002
11,Hervé Alicarte,fr FRA,DF,Bordeaux,26,1974,5,3,308,3.4,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
12,Éric Allibert,fr FRA,GK,Lille,25,1976,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
13,Aloísio,br BRA,FW,Paris S-G,26,1975,29,17,"1,724",19.2,6,3,6,0,0,9,0,0.31,0.16,0.47,0.31,0.47,Matches,2001-2002
14,Jérôme Alonzo,fr FRA,GK,Paris S-G,28,1972,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
15,Gharib Amzine,ma MAR,MF,Troyes,28,1973,21,17,"1,484",16.5,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches,2001-2002
16,Sonny Anderson,br BRA,FW,Lyon,30,1970,25,23,"1,912",21.2,14,2,12,2,3,1,0,0.66,0.09,0.75,0.56,0.66,Matches,2001-2002
17,Pierre-Yves André,fr FRA,FW,Nantes,27,1974,26,17,"1,427",15.9,4,2,4,0,0,2,0,0.25,0.13,0.38,0.25,0.38,Matches,2001-2002
18,Nicolas Anelka,fr FRA,FW,Paris S-G,22,1979,12,11,"1,002",11.1,2,1,2,0,0,1,0,0.18,0.09,0.27,0.18,0.27,Matches,2001-2002
19,Pierre Aristouy,fr FRA,FW,Nantes,21,1979,2,0,50,0.6,0,,0,0,,0,0,0.00,,,0.00,,Matches,2001-2002
20,Sylvain Armand,fr FRA,DF,Nantes,20,1980,30,30,"2,683",29.8,1,0,1,0,0,5,2,0.03,0.00,0.03,0.03,0.03,Matches,2001-2002
21,Dominique Arribagé,fr FRA,DF,Rennes,30,1971,25,24,"2,119",23.5,4,1,4,0,0,1,0,0.17,0.04,0.21,0.17,0.21,Matches,2001-2002
22,Mikel Arteta,es ESP,MF,Paris S-G,19,1982,25,25,"2,160",24.0,1,5,0,1,1,6,0,0.04,0.21,0.25,0.00,0.21,Matches,2001-2002
23,Assis,br BRA,MF,Montpellier,30,1971,9,5,464,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
24,Mansour Assoumani,ml MLI,DF,Montpellier,18,1983,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
26,Ludovic Asuar,fr FRA,MF,Sedan,24,1976,25,22,"1,974",21.9,2,2,1,1,1,5,0,0.09,0.09,0.18,0.05,0.14,Matches,2001-2002
27,Jean-Hugues Ateba,cm CMR,"DF,MF",Nantes,20,1981,4,2,200,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
28,Olivier Auriac,fr FRA,MF,Bordeaux,17,1983,5,1,148,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
29,Ibrahim Ba,fr FRA,MF,Marseille,27,1973,9,6,479,5.3,0,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,2001-2002
30,Schumann Bah,gn GUI,DF,Metz,26,1974,12,8,729,8.1,1,0,1,0,0,3,1,0.12,0.00,0.12,0.12,0.12,Matches,2001-2002
31,Jacek Bąk,pl POL,DF,Lens,28,1973,14,14,"1,172",13.0,2,0,2,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Matches,2001-2002
32,Dagui Bakari,ci CIV,FW,Lille,26,1974,25,18,"1,685",18.7,9,1,9,0,0,5,0,0.48,0.05,0.53,0.48,0.53,Matches,2001-2002
33,Ibrahima Bakayoko,ci CIV,FW,Marseille,24,1976,26,19,"1,715",19.1,8,2,8,0,0,0,0,0.42,0.10,0.52,0.42,0.52,Matches,2001-2002
34,Habib Bamogo,bf BFA,FW,Montpellier,19,1982,20,4,640,7.1,2,0,2,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,2001-2002
35,Ibrahima Bangoura,gn GUI,"DF,FW",Troyes,18,1982,3,2,194,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
36,Cédric Barbosa,fr FRA,MF,Montpellier,25,1976,28,22,"1,961",21.8,2,2,2,0,1,5,0,0.09,0.09,0.18,0.09,0.18,Matches,2001-2002
37,Cédric Bardon,fr FRA,"FW,MF",Guingamp,24,1976,29,19,"1,905",21.2,8,5,7,1,2,4,0,0.38,0.24,0.61,0.33,0.57,Matches,2001-2002
