,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
1,Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,33,33,"2,889",32.1,3,0,3,0,0,4,1,0.09,0.00,0.09,0.09,0.09,1.7,1.7,0.3,1.9,0.05,0.01,0.06,0.05,0.06,Matches,2020-2021
2,Mehdi Abeid,dz ALG,MF,Nantes,27,1992,18,15,"1,320",14.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.8,1.7,0.07,0.05,0.12,0.07,0.12,Matches,2020-2021
3,Laurent Abergel,fr FRA,MF,Lorient,27,1993,38,32,"2,963",32.9,3,1,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,2.7,0.04,0.04,0.08,0.04,0.08,Matches,2020-2021
4,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,20,2000,24,9,912,10.1,3,2,3,0,0,1,0,0.30,0.20,0.49,0.30,0.49,2.1,2.1,0.3,2.4,0.21,0.03,0.24,0.21,0.24,Matches,2020-2021
5,Matthis Abline,fr FRA,FW,Rennes,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
6,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,24,1995,14,14,"1,260",14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.08,0.00,0.09,0.08,0.09,Matches,2020-2021
7,Yacine Adli,fr FRA,MF,Bordeaux,20,2000,35,25,"2,418",26.9,2,5,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,1.4,1.4,4.7,6.1,0.05,0.18,0.23,0.05,0.23,Matches,2020-2021
8,Nayef Aguerd,ma MAR,DF,Rennes,24,1996,35,35,"3,147",35.0,3,1,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,2.9,2.9,0.9,3.8,0.08,0.03,0.11,0.08,0.11,Matches,2020-2021
9,Ruben Aguilar,fr FRA,"DF,FW",Monaco,27,1993,33,27,"2,225",24.7,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,4.6,5.8,0.05,0.19,0.23,0.05,0.23,Matches,2020-2021
10,Matteo Ahlinvi,bj BEN,MF,Nîmes,21,1999,20,10,899,10.0,2,0,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,1.6,1.6,0.3,1.9,0.16,0.03,0.19,0.16,0.19,Matches,2020-2021
11,Jean-Eudes Aholou,ci CIV,MF,Monaco,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.26,0.00,0.26,0.26,0.26,Matches,2020-2021
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26,1994,27,26,"2,146",23.8,2,2,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,2.3,2.0,1.2,3.1,0.10,0.05,0.15,0.08,0.13,Matches,2020-2021
13,Rayan Aït Nouri,fr FRA,DF,Angers,19,2001,3,2,187,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,0.1,0.1,0.4,0.4,0.04,0.17,0.21,0.04,0.21,Matches,2020-2021
14,Ludovic Ajorque,re REU,FW,Strasbourg,26,1994,35,34,"2,967",33.0,16,4,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,16.5,12.7,3.7,16.4,0.50,0.11,0.61,0.39,0.50,Matches,2020-2021
15,Marley Aké,fr FRA,FW,Marseille,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,1.1,0.67,0.00,0.67,0.67,0.67,Matches,2020-2021
16,Sofiane Alakouch,ma MAR,DF,Nîmes,22,1998,22,17,"1,505",16.7,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.2,1.3,0.01,0.07,0.08,0.01,0.08,Matches,2020-2021
