,Player,Signed,WeeklyGrossEuro,AnnualGrossEuro,TotalGrossEuro,ExpDate,Length,Club,season,ExpDateYear,League
0,Florian Schock,"Feb 3, 2022",577.0,30000.0,90000.0,"Jun 30, 2024",3.0,Stuttgart,2021-2022,2024.0,1-bundesliga
1,Bright Arrey-Mbi,"Jan 31, 2022",8077.0,420000.0,840000.0,"Jun 30, 2023",2.0,Bayern Munich,2021-2022,2023.0,1-bundesliga
2,Pavao Pervan,"Jan 29, 2022",15385.0,800000.0,2400000.0,"Jun 30, 2024",3.0,Wolfsburg,2021-2022,2024.0,1-bundesliga
3,Tom Bischof,"Jan 28, 2022",1538.0,80000.0,320000.0,"Jun 30, 2025",4.0,Hoffenheim,2021-2022,2025.0,1-bundesliga
4,Pavel Kaderabek,"Jan 27, 2022",32692.0,1700000.0,6800000.0,"Jun 30, 2025",4.0,Hoffenheim,2021-2022,2025.0,1-bundesliga
5,Philipp Pentke,"Jan 25, 2022",3077.0,160000.0,320000.0,"Jun 30, 2023",2.0,Hoffenheim,2021-2022,2023.0,1-bundesliga
6,David Raum,"Jan 21, 2022",5769.0,300000.0,1500000.0,"Jun 30, 2026",5.0,Hoffenheim,2021-2022,2026.0,1-bundesliga
7,Hugo Novoa,"Jan 21, 2022",962.0,50000.0,150000.0,"Jun 30, 2024",3.0,Leipzig,2021-2022,2024.0,1-bundesliga
8,Emrehan Gedikli,"Jan 19, 2022",2885.0,150000.0,300000.0,"Jun 30, 2023",2.0,Bayer Leverkusen,2021-2022,2023.0,1-bundesliga
9,Torben Müsel,"Jan 18, 2022",3654.0,190000.0,190000.0,"Jun 30, 2022",1.0,Monchengladbach,2021-2022,2022.0,1-bundesliga
10,Georginio Rutter,"Jan 14, 2022",11538.0,600000.0,3000000.0,"Jun 30, 2026",5.0,Hoffenheim,2021-2022,2026.0,1-bundesliga
11,Kevin Vogt,"Jan 13, 2022",32692.0,1700000.0,6800000.0,"Jun 30, 2025",4.0,Hoffenheim,2021-2022,2025.0,1-bundesliga
