,Player,Signed,WeeklyGrossEuro,AnnualGrossEuro,TotalGrossEuro,ExpDate,Length,Club,season,ExpDateYear,League
0,Ronald Araújo,"Apr 29, 2022",134615.0,7000000.0,35000000.0,"Jun 30, 2026",5.0,Barcelona,2021-2022,2026.0,la-liga
1,Dani Vivian,"Feb 4, 2022",22692.0,1180000.0,5900000.0,"Jun 30, 2026",5.0,Athletic Club,2021-2022,2026.0,la-liga
2,Juan Cruz,"Jan 31, 2022",11923.0,620000.0,1860000.0,"Jun 30, 2024",3.0,Osasuna,2021-2022,2024.0,la-liga
3,Álex Moreno,"Jan 31, 2022",13077.0,680000.0,2720000.0,"Jun 30, 2025",4.0,Real Betis,2021-2022,2025.0,la-liga
4,Joan Jordán,"Jan 27, 2022",90769.0,4720000.0,28320000.0,"Jun 30, 2027",6.0,Sevilla,2021-2022,2027.0,la-liga
5,Nico Williams,"Jan 21, 2022",45192.0,2350000.0,7050000.0,"Jun 30, 2024",3.0,Athletic Club,2021-2022,2024.0,la-liga
6,Aitor Fernández,"Jan 17, 2022",20769.0,1080000.0,3240000.0,"Jun 30, 2024",3.0,Levante,2021-2022,2024.0,la-liga
7,Fran Beltrán,"Jan 13, 2022",17308.0,900000.0,4500000.0,"Jun 30, 2026",5.0,Celta Vigo,2021-2022,2026.0,la-liga
8,Nabil Fekir,"Jan 12, 2022",132692.0,6900000.0,34500000.0,"Jun 30, 2026",5.0,Real Betis,2021-2022,2026.0,la-liga
9,Samuel Umtiti,"Jan 10, 2022",120192.0,6250000.0,31250000.0,"Jun 30, 2026",5.0,Barcelona,2021-2022,2026.0,la-liga
10,José Pozo,"Jan 5, 2022",5385.0,280000.0,280000.0,"Jun 30, 2022",1.0,Rayo Vallecano,2021-2022,2022.0,la-liga
11,Ángel Correa,"Jan 4, 2022",67308.0,3500000.0,17500000.0,"Jun 30, 2026",5.0,Atletico Madrid,2021-2022,2026.0,la-liga
12,Borja Iglesias,"Dec 27, 2021",24808.0,1290000.0,6450000.0,"Jun 30, 2026",5.0,Real Betis,2021-2022,2026.0,la-liga
13,Sergio Canales,"Dec 14, 2021",26346.0,1370000.0,6850000.0,"Jun 30, 2026",5.0,Real Betis,2021-2022,2026.0,la-liga
14,Kike Barja,"Dec 13, 2021",8846.0,460000.0,2300000.0,"Jun 30, 2026",5.0,Osasuna,2021-2022,2026.0,la-liga
15,Aihen Muñoz,"Dec 13, 2021",19038.0,990000.0,2970000.0,"Jun 30, 2024",3.0,Real Sociedad,2021-2022,2024.0,la-liga
16,Isi Palazón,"Dec 10, 2021",3269.0,170000.0,680000.0,"Jun 30, 2025",4.0,Rayo Vallecano,2021-2022,2025.0,la-liga
17,Luis Rioja,"Dec 9, 2021",15769.0,820000.0,3280000.0,"Jun 30, 2025",4.0,Alaves,2021-2022,2025.0,la-liga
18,Sergio Herrera,"Dec 8, 2021",18269.0,950000.0,4750000.0,"Jun 30, 2026",5.0,Osasuna,2021-2022,2026.0,la-liga
19,Raúl Albiol,"Nov 12, 2021",57885.0,3010000.0,6020000.0,"Jun 30, 2023",2.0,Villarreal,2021-2022,2023.0,la-liga
20,Manu Trigueros,"Nov 11, 2021",46538.0,2420000.0,9680000.0,"Jun 30, 2025",4.0,Villarreal,2021-2022,2025.0,la-liga
21,José Mari,"Nov 2, 2021",7885.0,410000.0,1230000.0,"Jun 30, 2024",3.0,Cadiz,2021-2022,2024.0,la-liga
