,Player,Signed,WeeklyGrossEuro,AnnualGrossEuro,TotalGrossEuro,ExpDate,Length,Club,season,ExpDateYear,League
0,Juan Cuadrado,"Apr 15, 2022",124615.0,6480000.0,12960000.0,"Jun 30, 2023",2.0,Juventus,2021-2022,2023.0,serie-a
1,Mattia Perin,"Apr 14, 2022",53462.0,2780000.0,11120000.0,"Jun 30, 2025",4.0,Juventus,2021-2022,2025.0,serie-a
2,Gianluca Scamacca,"Apr 13, 2022",28462.0,1480000.0,7400000.0,"Jun 30, 2026",5.0,Sassuolo,2021-2022,2026.0,serie-a
3,Giorgio Altare,"Mar 23, 2022",5385.0,280000.0,1400000.0,"Jun 30, 2026",5.0,Cagliari,2021-2022,2026.0,serie-a
4,Marcelo Brozovic,"Mar 23, 2022",213654.0,11110000.0,55550000.0,"Jun 30, 2026",5.0,Inter Milan,2021-2022,2026.0,serie-a
5,Berat Djimsiti,"Mar 21, 2022",28462.0,1480000.0,7400000.0,"Jun 30, 2026",5.0,Atalanta,2021-2022,2026.0,serie-a
6,Theo Hernández,"Feb 11, 2022",98654.0,5130000.0,25650000.0,"Jun 30, 2026",5.0,AC Milan,2021-2022,2026.0,serie-a
7,Matteo Gabbia,"Feb 3, 2022",28462.0,1480000.0,7400000.0,"Jun 30, 2026",5.0,AC Milan,2021-2022,2026.0,serie-a
8,Simone Aresti,"Feb 3, 2022",5385.0,280000.0,560000.0,"Jun 30, 2023",2.0,Cagliari,2021-2022,2023.0,serie-a
9,Bremer,"Feb 2, 2022",64038.0,3330000.0,9990000.0,"Jun 30, 2024",3.0,Torino,2021-2022,2024.0,serie-a
10,Stanislav Lobotka,"Jan 31, 2022",49231.0,2560000.0,10240000.0,"Jun 30, 2025",4.0,Napoli,2021-2022,2025.0,serie-a
11,Dusan Vlahovic,"Jan 28, 2022",249231.0,12960000.0,64800000.0,"Jun 30, 2026",5.0,Juventus,2021-2022,2026.0,serie-a
12,Robin Gosens,"Jan 27, 2022",89038.0,4630000.0,9260000.0,"Jun 30, 2023",2.0,Atalanta,2021-2022,2023.0,serie-a
13,Ben Lhassine Kone,"Jan 26, 2022",0.0,0.0,0.0,"Jun 30, 2022",1.0,Torino,2021-2022,2022.0,serie-a
14,Daniele Verde,"Jan 21, 2022",14231.0,740000.0,2960000.0,"Jun 30, 2025",4.0,Spezia,2021-2022,2025.0,serie-a
15,Niccolò Pietra,"Jan 21, 2022",0.0,0.0,0.0,"Jun 30, 2025",4.0,Spezia,2021-2022,2025.0,serie-a
16,Martín Satriano,"Jan 16, 2022",0.0,0.0,0.0,"Jun 30, 2022",1.0,Inter Milan,2021-2022,2022.0,serie-a
17,Ebrima Darboe,"Dec 29, 2021",15962.0,830000.0,4150000.0,"Jun 30, 2026",5.0,Roma,2021-2022,2026.0,serie-a
18,Edoardo Bove,"Dec 29, 2021",0.0,0.0,0.0,"Jun 30, 2025",4.0,Roma,2021-2022,2025.0,serie-a
19,Nicola Zalewski,"Dec 29, 2021",10769.0,560000.0,2240000.0,"Jun 30, 2025",4.0,Roma,2021-2022,2025.0,serie-a
20,Luca Gemello,"Dec 27, 2021",0.0,0.0,0.0,"Jun 30, 2023",2.0,Torino,2021-2022,2023.0,serie-a
21,Federico Dimarco,"Dec 23, 2021",40962.0,2130000.0,10650000.0,"Jun 30, 2026",5.0,Inter Milan,2021-2022,2026.0,serie-a
22,Antonio Junior Vacca,"Dec 17, 2021",5385.0,280000.0,560000.0,"Jun 30, 2023",2.0,Venezia,2021-2022,2023.0,serie-a
23,Nicola Ravaglia,"Nov 25, 2021",3654.0,190000.0,570000.0,"Jun 30, 2024",3.0,Sampdoria,2021-2022,2024.0,serie-a
24,Nicolò Barella,"Nov 5, 2021",178077.0,9260000.0,46300000.0,"Jun 30, 2026",5.0,Inter Milan,2021-2022,2026.0,serie-a
25,Alessandro Buongiorno,"Nov 5, 2021",7885.0,410000.0,1640000.0,"Jun 30, 2025",4.0,Torino,2021-2022,2025.0,serie-a
26,Andrea Consigli,"Nov 3, 2021",35577.0,1850000.0,5550000.0,"Jun 30, 2024",3.0,Sassuolo,2021-2022,2024.0,serie-a
27,Domen Crnigoj,"Nov 3, 2021",5192.0,270000.0,1080000.0,"Jun 30, 2025",4.0,Venezia,2021-2022,2025.0,serie-a
28,Pietro Ceccaroni,"Oct 29, 2021",10769.0,560000.0,2800000.0,"Jun 30, 2026",5.0,Venezia,2021-2022,2026.0,serie-a
29,Lautaro Martínez,"Oct 28, 2021",213654.0,11110000.0,55550000.0,"Jun 30, 2026",5.0,Inter Milan,2021-2022,2026.0,serie-a
30,Simon Kjaer,"Oct 27, 2021",36923.0,1920000.0,5760000.0,"Jun 30, 2024",3.0,AC Milan,2021-2022,2024.0,serie-a
31,Dennis Johnsen,"Oct 21, 2021",8077.0,420000.0,1680000.0,"Jun 30, 2025",4.0,Venezia,2021-2022,2025.0,serie-a
32,Alexis Saelemaekers,"Oct 15, 2021",24615.0,1280000.0,6400000.0,"Jun 30, 2026",5.0,AC Milan,2021-2022,2026.0,serie-a
33,Riccardo Sottil,"Oct 13, 2021",21346.0,1110000.0,5550000.0,"Jun 30, 2026",5.0,Fiorentina,2021-2022,2026.0,serie-a
