club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atlético de Madrid,Leo Biagini,18,Centre-Forward,Newell's,€1.20m,in,Summer,1.2,Primera Division,1995,1995/1996
Atlético de Madrid,Milinko Pantic,28,Attacking Midfield,Panionios,€500Th.,in,Summer,0.5,Primera Division,1995,1995/1996
Atlético de Madrid,Fernando Correa,21,Centre-Forward,River Plate,€120Th.,in,Summer,0.12,Primera Division,1995,1995/1996
Atlético de Madrid,Lyuboslav Penev,28,Centre-Forward,Valencia,free transfer,in,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,José Francisco Molina,24,Goalkeeper,Albacete,free transfer,in,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,Juan Carlos,22,attack,Atl. Marbella,"End of loanJul 1, 1995",in,Summer,0,Primera Division,1995,1995/1996
Atlético de Madrid,José Soler,27,midfield,CA Osasuna,"End of loanJun 1, 1995",in,Summer,0,Primera Division,1995,1995/1996
Atlético de Madrid,Iván Rocha,27,Left-Back,Real Valladolid,"End of loanJul 1, 1996",in,Summer,0,Primera Division,1995,1995/1996
Atlético de Madrid,Miguel Ángel Benítez,25,Centre-Forward,CP Mérida,"End of loanJun 1, 1995",in,Summer,0,Primera Division,1995,1995/1996
Atlético de Madrid,Miguel Ángel Benítez,25,Centre-Forward,Espanyol,€1.05m,out,Summer,1.05,Primera Division,1995,1995/1996
Atlético de Madrid,Abel Resino,35,Goalkeeper,Rayo Vallecano,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,Manolo,30,Centre-Forward,CP Mérida,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,Adolfo Valencia,27,Centre-Forward,Indep. Santa Fe,?,out,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,Manuel Ruano,20,Right Midfield,Rayo Vallecano,?,out,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,Patxi Ferreira,28,Centre-Back,Valencia,?,out,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,Roman Kosecki,29,Centre-Forward,FC Nantes,?,out,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,Diego,26,Goalkeeper,Real Valladolid,?,out,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,José Soler,27,midfield,Atl. Marbella,loan transfer,out,Summer,NA,Primera Division,1995,1995/1996
Atlético de Madrid,Igor Dobrovolski,27,Attacking Midfield,Without Club,-,out,Summer,0,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Miguel Ángel Benítez,25,Centre-Forward,Atlético Madrid,€1.05m,in,Summer,1.05,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Alberto Toril,21,midfield,Real Madrid B,€300Th.,in,Summer,0.3,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Ismael Urzaiz,23,Centre-Forward,UD Salamanca,free transfer,in,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Cristóbal Parralo,27,Right-Back,Real Oviedo,?,in,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Goran Bogdanovic,28,Right Midfield,RCD Mallorca,?,in,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Javi García,25,attack,Palamós CF,?,in,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Álex Fernández,21,Defensive Midfield,Palamós CF,?,in,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Dmitri Kuznetsov,29,Right Midfield,UE Lleida,"End of loanJun 30, 1995",in,Summer,0,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Velko Yotov,24,Second Striker,Newell's,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,José Mari,20,midfield,RCD Mallorca,?,out,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Dmitri Kuznetsov,29,Right Midfield,Alavés,?,out,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Lluís González,26,Centre-Forward,CP Mérida,?,out,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,José Luis Gallardo,23,Centre-Back,Badajoz,?,out,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,Enrique Ayucar,29,midfield,UD Salamanca,?,out,Summer,NA,Primera Division,1995,1995/1996
RCD Espanyol Barcelona,César Mendiondo,29,Right-Back,CP Mérida,?,out,Summer,NA,Primera Division,1995,1995/1996
Deportivo de La Coruña,Txiki Begiristain,30,Left Winger,Barcelona,€2.50m,in,Summer,2.5,Primera Division,1995,1995/1996
Deportivo de La Coruña,Dmitri Radchenko,24,Centre-Forward,Racing,€2.28m,in,Summer,2.28,Primera Division,1995,1995/1996
Deportivo de La Coruña,Branko Milovanovic,22,midfield,OFK Beograd,free transfer,in,Summer,NA,Primera Division,1995,1995/1996
Deportivo de La Coruña,Rafael Martín Vázquez,29,Attacking Midfield,Real Madrid,?,in,Summer,NA,Primera Division,1995,1995/1996
Deportivo de La Coruña,Pedro Riesco,26,attack,Albacete,-,in,Summer,0,Primera Division,1995,1995/1996
Deportivo de La Coruña,Braulio Vázquez,23,attack,Deportivo B,-,in,Summer,0,Primera Division,1995,1995/1996
Deportivo de La Coruña,David Fernández,19,Attacking Midfield,Deportivo B,-,in,Summer,0,Primera Division,1995,1995/1996
Deportivo de La Coruña,Emil Kostadinov,27,Centre-Forward,FC Bayern,"End of loanJun 30, 1995",in,Summer,0,Primera Division,1995,1995/1996
Deportivo de La Coruña,Pedro Riesco,25,attack,Real Valladolid,"End of loanJun 30, 1995",in,Summer,0,Primera Division,1995,1995/1996
Deportivo de La Coruña,Julio Salinas,33,Centre-Forward,Sporting Gijón,€450Th.,out,Summer,0.45,Primera Division,1995,1995/1996
Deportivo de La Coruña,Emil Kostadinov,27,Centre-Forward,FC Bayern,?,out,Summer,NA,Primera Division,1995,1995/1996
Deportivo de La Coruña,José Ramón,27,Central Midfield,SD Compostela,?,out,Summer,NA,Primera Division,1995,1995/1996
Deportivo de La Coruña,Claudio Barragán,31,attack,UD Salamanca,?,out,Summer,NA,Primera Division,1995,1995/1996
Deportivo de La Coruña,Pedro Riesco,25,attack,Albacete,loan transfer,out,Summer,NA,Primera Division,1995,1995/1996
Celta de Vigo,Toni Prats,23,Goalkeeper,RCD Mallorca,free transfer,in,Summer,NA,Primera Division,1995,1995/1996
Celta de Vigo,Eusebio,31,Defensive Midfield,Barcelona,free transfer,in,Summer,NA,Primera Division,1995,1995/1996
Celta de Vigo,Goran Milojevic,30,midfield,RCD Mallorca,free transfer,in,Summer,NA,Primera Division,1995,1995/1996
Celta de Vigo,Jon Uribarrena,26,attack,UD Almería,?,out,Summer,NA,Primera Division,1995,1995/1996
Celta de Vigo,Mikel Antía,22,Centre-Back,Real Valladolid,?,out,Summer,NA,Primera Division,1995,1995/1996
Celta de Vigo,Carlos Cano,25,Goalkeeper,Real Oviedo,?,out,Summer,NA,Primera Division,1995,1995/1996
Celta de Vigo,Tito Vilanova,26,midfield,Badajoz,?,out,Summer,NA,Primera Division,1995,1995/1996
Celta de Vigo,Sebastián Losada,27,attack,Retired,-,out,Summer,0,Primera Division,1995,1995/1996
Celta de Vigo,Alberto Toril,21,midfield,Real Madrid B,"End of loanJun 30, 1995",out,Summer,0,Primera Division,1995,1995/1996
Valencia CF,Viola,26,Centre-Forward,Corinthians,€3.00m,in,Summer,3,Primera Division,1995,1995/1996
Valencia CF,Xabier Eskurza,25,Central Midfield,Barcelona,€2.00m,in,Summer,2,Primera Division,1995,1995/1996
Valencia CF,José Ignacio,21,Defensive Midfield,CD Logroñés,€720Th.,in,Summer,0.72,Primera Division,1995,1995/1996
Valencia CF,Sietes,21,Left-Back,Real Oviedo,?,in,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,Iñaki Hurtado,23,midfield,Real Valladolid,?,in,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,Patxi Ferreira,28,Centre-Back,Atlético Madrid,?,in,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,Rafa Gómez,21,Goalkeeper,Valencia B,-,in,Summer,0,Primera Division,1995,1995/1996
Valencia CF,Jorge Bartual,23,Goalkeeper,Valencia B,-,in,Summer,0,Primera Division,1995,1995/1996
Valencia CF,Javi Navarro,21,Centre-Back,CD Logroñés,"End of loanJun 30, 1995",in,Summer,0,Primera Division,1995,1995/1996
Valencia CF,Oleg Salenko,25,Centre-Forward,Rangers,€3.00m,out,Summer,3,Primera Division,1995,1995/1996
Valencia CF,Lyuboslav Penev,28,Centre-Forward,Atlético Madrid,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,Juan Carlos,30,Left-Back,Real Valladolid,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,David Clotet,22,Centre-Back,CD Logroñés,?,out,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,Robert Fernández,32,Central Midfield,Villarreal,?,out,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,Eloy Olaya,30,Centre-Forward,Sporting Gijón,?,out,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,Álvaro Cervera,29,attack,Racing,?,out,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,José Serer,29,Centre-Back,Villarreal,?,out,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,Juanjo Maqueda,26,midfield,Albacete,?,out,Summer,NA,Primera Division,1995,1995/1996
Valencia CF,José Manuel Sempere,37,Goalkeeper,Retired,-,out,Summer,0,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Chemo del Solar,27,Central Midfield,CD Tenerife,€720Th.,in,Summer,0.72,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Catanha,23,Centre-Forward,Belenenses,€480Th.,in,Summer,0.48,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Ovidiu Stinga,22,Right Midfield,U. Craiova,?,in,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Claudio Barragán,31,attack,Dep. La Coruña,?,in,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Yosu,31,Goalkeeper,Atl. Marbella,?,in,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Lutxo Iturrino,31,midfield,Real Sociedad,?,in,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Enrique Ayucar,29,midfield,Espanyol,?,in,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Ismael Urzaiz,23,Centre-Forward,Espanyol,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Antonio Díaz,25,Defensive Midfield,CA Osasuna,?,out,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Paco,28,midfield,CD Lugo,?,out,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Roberto Olabe,27,Goalkeeper,Real Sociedad,?,out,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Carlos Martín,24,midfield,Badajoz,?,out,Summer,NA,Primera Division,1995,1995/1996
UD Salamanca (- 2013),Jon Igoa,28,attack,Écija Balompié,?,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Xavier Escaich,26,Centre-Forward,Barcelona,€700Th.,in,Summer,0.7,Primera Division,1995,1995/1996
Albacete Balompié,Paco Luna,23,Centre-Forward,UD Almería,?,in,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Miguel Ángel Brau,20,midfield,Hellín,?,in,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Emilio Gutiérrez,24,midfield,Sporting Gijón,?,in,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Juanjo Maqueda,26,midfield,Valencia,?,in,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Velli Kasumov,26,Centre-Forward,Real Betis,?,in,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Pedro Riesco,25,attack,Dep. La Coruña,loan transfer,in,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Jesús Muñoz,19,Central Midfield,Albacete B,-,in,Summer,0,Primera Division,1995,1995/1996
Albacete Balompié,Josico,20,Defensive Midfield,Albacete B,-,in,Summer,0,Primera Division,1995,1995/1996
Albacete Balompié,Alberto Monteagudo,20,Defensive Midfield,Fuerteventura,"End of loanJun 30, 1995",in,Summer,0,Primera Division,1995,1995/1996
Albacete Balompié,José Francisco Molina,24,Goalkeeper,Atlético Madrid,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Ivaylo Andonov,27,Centre-Forward,Arm. Bielefeld,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Fernando Morientes,19,Centre-Forward,Real Zaragoza,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Goyo Fonseca,29,attack,Real Valladolid,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Alejandro Rodríguez,31,Right-Back,Gimnàstic,?,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Antonio,30,attack,CF Extremadura,?,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Magín Mir,25,Centre-Back,Elche CF,?,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Josep Sala,31,midfield,Badajoz,?,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Pedro Cordero,26,midfield,Badajoz,?,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Esteban Fradera,32,defence,RCD Mallorca,?,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Óscar Dertycia,30,Centre-Forward,Belgrano,?,out,Summer,NA,Primera Division,1995,1995/1996
Albacete Balompié,Pedro Riesco,26,attack,Dep. La Coruña,-,out,Summer,0,Primera Division,1995,1995/1996
Albacete Balompié,Óscar García,22,Attacking Midfield,Barcelona,"End of loanJun 30, 1995",out,Summer,0,Primera Division,1995,1995/1996
Sporting Gijón,Iván Iglesias,23,Central Midfield,Barcelona,€500Th.,in,Summer,0.5,Primera Division,1995,1995/1996
Sporting Gijón,Julio Salinas,33,Centre-Forward,Dep. La Coruña,€450Th.,in,Summer,0.45,Primera Division,1995,1995/1996
Sporting Gijón,Rasheed Yekini,31,Centre-Forward,Olympiacos,€150Th.,in,Summer,0.15,Primera Division,1995,1995/1996
Sporting Gijón,Rafa Navarro,23,midfield,Real Jaén CF,?,in,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,Eloy Olaya,30,Centre-Forward,Valencia,?,in,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,Ricardo Bango,26,midfield,Sevilla FC,?,in,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,Dani Bouzas,21,Attacking Midfield,Sporting B,-,in,Summer,0,Primera Division,1995,1995/1996
Sporting Gijón,Marcos Sequeiros,21,Centre-Forward,Sporting B,-,in,Summer,0,Primera Division,1995,1995/1996
Sporting Gijón,Aitor Tornavaca,19,Left-Back,Sporting B,-,in,Summer,0,Primera Division,1995,1995/1996
Sporting Gijón,Sergio Fernández,18,Centre-Back,Sporting B,-,in,Summer,0,Primera Division,1995,1995/1996
Sporting Gijón,Pier,23,Centre-Forward,Real Betis,€3.00m,out,Summer,3,Primera Division,1995,1995/1996
Sporting Gijón,Daniel Saric,22,Right-Back,Croatia Zagreb,?,out,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,Dani Díaz,21,midfield,Chaves,?,out,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,José Luis Morales,22,attack,RCD Mallorca,?,out,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,Fredi,21,Left Midfield,UE Lleida,?,out,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,Iván Miner,24,midfield,Chaves,?,out,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,Emilio Gutiérrez,24,midfield,Albacete,?,out,Summer,NA,Primera Division,1995,1995/1996
Sporting Gijón,Javier Castaño,22,Central Midfield,CD Logroñés,?,out,Summer,NA,Primera Division,1995,1995/1996
Real Oviedo,Peter Dubovsky,23,Second Striker,Real Madrid,€900Th.,in,Summer,0.9,Primera Division,1995,1995/1996
Real Oviedo,Nebojsa Scepanovic,27,midfield,Vojvodina,€210Th.,in,Summer,0.21,Primera Division,1995,1995/1996
Real Oviedo,Carlos Cano,25,Goalkeeper,Celta de Vigo,?,in,Summer,NA,Primera Division,1995,1995/1996
Real Oviedo,Paco Sanz,22,Right Midfield,Real Madrid B,?,in,Summer,NA,Primera Division,1995,1995/1996
Real Oviedo,César Martín,18,Centre-Back,Oviedo B,-,in,Summer,0,Primera Division,1995,1995/1996
Real Oviedo,Roberto Losada,18,Centre-Forward,Oviedo B,-,in,Summer,0,Primera Division,1995,1995/1996
Real Oviedo,Robert Prosinecki,26,Central Midfield,Barcelona,€3.00m,out,Summer,3,Primera Division,1995,1995/1996
Real Oviedo,Slavisa Jokanovic,26,Defensive Midfield,CD Tenerife,€3.00m,out,Summer,3,Primera Division,1995,1995/1996
Real Oviedo,Georgi Yordanov,31,Attacking Midfield,Septemvri Sofia,free transfer,out,Summer,NA,Primera Division,1995,1995/1996
Real Oviedo,Cristóbal Parralo,27,Right-Back,Espanyol,?,out,Summer,NA,Primera Division,1995,1995/1996
Real Oviedo,Sietes,21,Left-Back,Valencia,?,out,Summer,NA,Primera Division,1995,1995/1996
Real Oviedo,Janko Jankovic,32,attack,Hércules CF,?,out,Summer,NA,Primera Division,1995,1995/1996
Real Oviedo,Pablo Maqueda,24,attack,RCD Mallorca,loan transfer,out,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Bent Christensen,28,Centre-Forward,FC Schalke 04,€250Th.,in,Summer,0.25,Primera Division,1995,1995/1996
SD Compostela,Festus Agu,20,Centre-Forward,Bolívar,?,in,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,José Antonio Vilaseca Triviño,23,attack,CD Leganés,?,in,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Virgilio Hernández,26,Left-Back,UE Lleida,?,in,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Fernando Peralta,33,Goalkeeper,CD Castellón,?,in,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,José Ramón,27,Central Midfield,Dep. La Coruña,?,in,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Mauro García,24,Right-Back,Pontevedra,?,in,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Jesús Dulce,24,Right-Back,CD Logroñés,loan transfer,in,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Modesto López,30,Centre-Back,Orense,?,out,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Goyo,25,Left-Back,SD Eibar,?,out,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,José Álvarez,28,attack,Mensajero,?,out,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Víctor Arias,28,Right-Back,Alavés,?,out,Summer,NA,Primera Division,1995,1995/1996
SD Compostela,Pichi Lucas,36,Centre-Forward,Retired,-,out,Summer,0,Primera Division,1995,1995/1996
