club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
RC Strasbourg Alsace,Diego Garay,24,Attacking Midfield,CA Talleres,€3.50m,in,Summer,3.5,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Mario Haas,24,Centre-Forward,Sturm Graz,€3.12m,in,Summer,3.12,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Pape Malick Diop,24,Centre-Back,Jeanne d'Arc,€900Th.,in,Summer,0.9,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Pascal Camadini,27,Central Midfield,FC Lorient,free transfer,in,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Pierre Njanka,24,Right-Back,Xamax,free transfer,in,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Gonzalo Belloso,25,Centre-Forward,Lanús,?,in,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Joseph Cyrille Ndo,23,Attacking Midfield,Xamax,?,in,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Cédric Kanté,19,Centre-Back,R. Strasbourg B,-,in,Summer,0,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Henri Camara,22,Centre-Forward,Xamax,free transfer,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Jan Suchoparek,29,Sweeper,TeBe Berlin,free transfer,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Corentin Martins,30,Attacking Midfield,G. Bordeaux,loan transfer,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Kim Ekroos,18,Goalkeeper,Tampere United,?,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Raphaël Miceli,23,Left Midfield,AC Le Havre,?,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Stéphane Collet,27,Right Midfield,Lens,?,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Peter Frank,29,Centre-Back,Akademisk BK,?,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Frédéric Arpinon,30,Attacking Midfield,Troyes,?,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Per Pedersen,30,Centre-Forward,Odense BK,?,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Luciano Zavagno,21,Left-Back,Troyes,?,out,Summer,NA,Ligue 1,1999,1999/2000
RC Strasbourg Alsace,Godwin Okpara,26,Centre-Back,Paris SG,?,out,Summer,NA,Ligue 1,1999,1999/2000
AS Nancy-Lorraine,Nicolas Rabuel,21,Centre-Back,Olympique Lyon,free transfer,in,Summer,NA,Ligue 1,1999,1999/2000
AS Nancy-Lorraine,Fabien Lefèvre,27,Left Midfield,Monaco,loan transfer,in,Summer,NA,Ligue 1,1999,1999/2000
AS Nancy-Lorraine,Cédric Mouret,21,Attacking Midfield,Marseille,?,in,Summer,NA,Ligue 1,1999,1999/2000
AS Nancy-Lorraine,Saïd Chiba,28,Defensive Midfield,SD Compostela,?,in,Summer,NA,Ligue 1,1999,1999/2000
