club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
AS Roma,Matteo Brighi,23,Central Midfield,Juventus,€16.00m,in,Summer,16,Serie A,2004,2004/2005
AS Roma,Simone Perrotta,26,Attacking Midfield,Chievo Verona,€7.20m,in,Summer,7.2,Serie A,2004,2004/2005
AS Roma,Matteo Ferrari,24,Centre-Back,Parma,€7.00m,in,Summer,7,Serie A,2004,2004/2005
AS Roma,Philippe Mexès,22,Centre-Back,AJ Auxerre,€7.00m,in,Summer,7,Serie A,2004,2004/2005
AS Roma,Mido,21,Centre-Forward,Marseille,€6.00m,in,Summer,6,Serie A,2004,2004/2005
AS Roma,Cesare Bovo,21,Centre-Back,Lecce,€10Th.,in,Summer,0.01,Serie A,2004,2004/2005
AS Roma,Gianluca Curci,18,Goalkeeper,Roma U19,-,in,Summer,0,Serie A,2004,2004/2005
AS Roma,Valerio Virga,18,Right-Back,Roma U19,-,in,Summer,0,Serie A,2004,2004/2005
AS Roma,Andrea Briotti,18,Left-Back,Roma U19,-,in,Summer,0,Serie A,2004,2004/2005
AS Roma,Pietro Pipolo,18,Goalkeeper,Roma U19,-,in,Summer,0,Serie A,2004,2004/2005
AS Roma,Giuseppe Scurto,20,Centre-Back,Roma U19,-,in,Summer,0,Serie A,2004,2004/2005
AS Roma,Simone Piva,20,Left-Back,Roma U19,-,in,Summer,0,Serie A,2004,2004/2005
AS Roma,Luigi Stillo,20,midfield,Roma U19,-,in,Summer,0,Serie A,2004,2004/2005
AS Roma,Émerson,28,Defensive Midfield,Juventus,€28.00m,out,Summer,28,Serie A,2004,2004/2005
AS Roma,Wálter Samuel,26,Centre-Back,Real Madrid,€25.00m,out,Summer,25,Serie A,2004,2004/2005
AS Roma,Francisco Lima,33,Defensive Midfield,Loko Moscow,€5.70m,out,Summer,5.7,Serie A,2004,2004/2005
AS Roma,Massimo Bonanni,22,Left Midfield,Vicenza,€200Th.,out,Summer,0.2,Serie A,2004,2004/2005
AS Roma,Cesare Bovo,21,Centre-Back,Parma,Loan fee:€100Th.,out,Summer,0.1,Serie A,2004,2004/2005
AS Roma,Jonathan Zebina,25,Centre-Back,Juventus,free transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Manuel Cattani,19,defence,Chaux-de-Fonds,free transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Gianni Guigou,29,Defensive Midfield,Fiorentina,free transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Simone Piva,20,Left-Back,Triestina,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Adewale Dauda Wahab,19,Central Midfield,Ternana,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Cristiano Lupatelli,26,Goalkeeper,Fiorentina,?,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Alessandro Cremaschini,21,defence,Castel di Sangro,?,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Giuseppe Coppola,20,defence,Castel di Sangro,?,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Damiano Ferronetti,19,Centre-Back,Parma,?,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Matteo Brighi,23,Central Midfield,Chievo Verona,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Christian Scarlato,20,midfield,Salernitana,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Olasunkanmi Akande Ajide,18,Centre-Forward,AC Venezia 1907,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,Daniele Galloppa,19,Central Midfield,Triestina,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
AS Roma,John Carew,24,Centre-Forward,Valencia,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
