club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Arouca,Omri Altman,27,Second Striker,Hapoel Tel Aviv,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Gastón Campi,30,Centre-Back,Trabzonspor,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Oday Dabbagh,22,Centre-Forward,Al-Arabi SC,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Or Dasa,22,Attacking Midfield,Hapoel Raanana,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Leandro Silva,27,Central Midfield,AEL Limassol,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Eugeni,26,Attacking Midfield,SD Huesca,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Abdoulaye Ba,30,Centre-Back,Moreirense,?,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Antony,19,Second Striker,Joinville-SC,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Tiago Araújo,20,Left Winger,Benfica B,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Tiago Esgaio,26,Right-Back,SC Braga,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Eboue Kouassi,23,Defensive Midfield,KRC Genk,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Frederick Takyi,21,Left-Back,FC Pedras Rubras,"End of loanJun 30, 2021",in,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Diogo Clemente,25,Left-Back,CF Estrela,"End of loanJun 30, 2021",in,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Diogo Clemente,25,Left-Back,Caldas,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Mauro Caballero,26,Centre-Forward,Coimbra,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Frederick Takyi,21,Left-Back,Mirandela,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Tomás Fontes,18,Goalkeeper,Carregosense,?,out,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Heliardo,29,Centre-Forward,Varzim,loan transfer,out,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Júnior Sena,30,Right Winger,Without Club,-,out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Baptiste Aloé,27,Centre-Back,Without Club,-,out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Leandro Silva,27,Central Midfield,AEL Limassol,"End of loanJun 30, 2021",out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Lawrence Ofori,23,Central Midfield,Famalicão,"End of loanJun 30, 2021",out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Christian Vassilakis,20,Right Winger,RM Castilla,"End of loanJun 30, 2021",out,Summer,0,Liga Nos,2021,2021/2022
