,Player,Signed,WeeklyGrossEuro,AnnualGrossEuro,TotalGrossEuro,ExpDate,Length,Club,season,ExpDateYear,League
0,Dilane Bakwa,"Jan 27, 2022",1154.0,60000.0,240000.0,"Jun 30, 2025",4.0,Bordeaux,2021-2022,2025.0,ligue-1
1,Lebo Mothiba,"Jan 27, 2022",16154.0,840000.0,840000.0,"Jun 30, 2022",1.0,Strasbourg,2021-2022,2022.0,ligue-1
2,Matthis Abline,"Jan 21, 2022",577.0,30000.0,30000.0,"Jun 30, 2022",1.0,Rennes,2021-2022,2022.0,ligue-1
3,Nicolas Pallois,"Jan 18, 2022",25385.0,1320000.0,3960000.0,"Jun 30, 2024",3.0,Nantes,2021-2022,2024.0,ligue-1
4,Eliot Matazo,"Jan 13, 2022",769.0,40000.0,200000.0,"Jun 30, 2026",5.0,Monaco,2021-2022,2026.0,ligue-1
5,Castello Lukeba,"Jan 3, 2022",1923.0,100000.0,400000.0,"Jun 30, 2025",4.0,Lyon,2021-2022,2025.0,ligue-1
6,Marc-Aurèle Caillard,"Dec 31, 2021",3462.0,180000.0,540000.0,"Jun 30, 2024",3.0,Metz,2021-2022,2024.0,ligue-1
7,Warmed Omari,"Dec 30, 2021",577.0,30000.0,150000.0,"Jun 30, 2026",5.0,Rennes,2021-2022,2026.0,ligue-1
8,Romain Salin,"Dec 17, 2021",13269.0,690000.0,2070000.0,"Jun 30, 2024",3.0,Rennes,2021-2022,2024.0,ligue-1
9,Florian Sotoca,"Dec 13, 2021",4615.0,240000.0,720000.0,"Jun 30, 2024",3.0,Lens,2021-2022,2024.0,ligue-1
10,Bamba Dieng,"Dec 10, 2021",769.0,40000.0,120000.0,"Jun 30, 2024",3.0,Marseille,2021-2022,2024.0,ligue-1
11,Jean-Ricner Bellegarde,"Nov 8, 2021",6538.0,340000.0,1020000.0,"Jun 30, 2024",3.0,Strasbourg,2021-2022,2024.0,ligue-1
12,Oualid El Hajjam,"Oct 21, 2021",3077.0,160000.0,320000.0,"Jun 30, 2023",2.0,Troyes,2021-2022,2023.0,ligue-1
13,Tidjany Touré,"Oct 7, 2021",2308.0,120000.0,240000.0,"Jun 30, 2023",2.0,PSG,2021-2022,2023.0,ligue-1
14,Vincent Le Goff,"Oct 6, 2021",4808.0,250000.0,500000.0,"Jun 30, 2023",2.0,Lorient,2021-2022,2023.0,ligue-1
15,Brendan Chardonnet,"Oct 1, 2021",1154.0,60000.0,240000.0,"Jun 30, 2025",4.0,Brest,2021-2022,2025.0,ligue-1
16,Mohamed Bayo,"Oct 1, 2021",11538.0,600000.0,1800000.0,"Jun 30, 2024",3.0,Clermont,2021-2022,2024.0,ligue-1
17,Khéphren Thuram,"Sep 30, 2021",577.0,30000.0,120000.0,"Jun 30, 2025",4.0,Nice,2021-2022,2025.0,ligue-1
