,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,"2,184",24.3,5,1,5,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.4,3.4,1.8,5.2,0.14,0.07,0.21,0.14,0.21,Matches,2017-2018
1,Rolando Aarons,eng ENG,"FW,MF",Newcastle Utd,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches,2017-2018
2,Tammy Abraham,eng ENG,FW,Swansea City,19,1997,31,15,"1,726",19.2,5,1,5,0,0,0,0,0.26,0.05,0.31,0.26,0.31,6.7,6.7,1.0,7.7,0.35,0.05,0.40,0.35,0.40,Matches,2017-2018
3,Charlie Adam,sct SCO,MF,Stoke City,31,1985,11,5,411,4.6,0,0,0,0,1,2,1,0.00,0.00,0.00,0.00,0.00,1.2,0.4,1.1,1.5,0.26,0.24,0.50,0.10,0.33,Matches,2017-2018
4,Adrián,es ESP,GK,West Ham,30,1987,19,19,"1,710",19.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
5,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
6,Benik Afobe,cd COD,"FW,MF",Bournemouth,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.3,0.21,0.01,0.22,0.21,0.22,Matches,2017-2018
7,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25,22,"1,963",21.8,21,6,17,4,4,2,0,0.96,0.28,1.24,0.78,1.05,17.5,14.4,7.4,21.8,0.80,0.34,1.14,0.66,1.00,Matches,2017-2018
8,Nathan Aké,nl NED,DF,Bournemouth,22,1995,38,37,"3,353",37.3,2,3,2,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.4,2.4,1.9,4.3,0.07,0.05,0.12,0.07,0.12,Matches,2017-2018
9,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,34,30,"2,538",28.2,2,7,2,0,0,5,1,0.07,0.25,0.32,0.07,0.32,1.6,1.6,5.1,6.6,0.06,0.18,0.24,0.06,0.24,Matches,2017-2018
10,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,"1,178",13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matches,2017-2018
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,"1,573",17.5,1,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.2,3.5,0.07,0.13,0.20,0.07,0.20,Matches,2017-2018
12,Joe Allen,wls WAL,MF,Stoke City,27,1990,36,36,"3,139",34.9,2,6,2,0,0,8,0,0.06,0.17,0.23,0.06,0.23,2.0,2.0,2.7,4.7,0.06,0.08,0.13,0.06,0.13,Matches,2017-2018
13,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,36,34,"2,958",32.9,9,10,9,0,0,7,0,0.27,0.30,0.58,0.27,0.58,8.8,8.8,7.9,16.7,0.27,0.24,0.51,0.27,0.51,Matches,2017-2018
14,Marcos Alonso,es ESP,DF,Chelsea,26,1990,33,33,"2,855",31.7,7,2,7,0,0,6,0,0.22,0.06,0.28,0.22,0.28,4.2,4.2,2.7,6.9,0.13,0.09,0.22,0.13,0.22,Matches,2017-2018
15,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,5.4,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
16,Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
17,Nordin Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018
18,Michail Antonio,jm JAM,"FW,MF",West Ham,27,1990,21,16,"1,354",15.0,3,1,3,0,0,1,0,0.20,0.07,0.27,0.20,0.27,2.6,2.6,0.8,3.4,0.17,0.05,0.22,0.17,0.22,Matches,2017-2018
19,Scott Arfield,ca CAN,MF,Burnley,28,1988,18,15,"1,333",14.8,2,1,2,0,0,3,0,0.14,0.07,0.20,0.14,0.20,2.1,2.1,0.4,2.5,0.14,0.03,0.17,0.14,0.17,Matches,2017-2018
20,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,31,28,"2,313",25.7,11,6,11,0,0,5,1,0.43,0.23,0.66,0.43,0.66,10.4,10.4,4.0,14.4,0.41,0.15,0.56,0.41,0.56,Matches,2017-2018
21,Harry Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,10.7,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.2,0.8,0.06,0.02,0.08,0.06,0.08,Matches,2017-2018
22,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,25,1992,28,19,"1,784",19.8,2,2,2,0,0,1,0,0.10,0.10,0.20,0.10,0.20,3.8,3.8,2.7,6.5,0.19,0.14,0.33,0.19,0.33,Matches,2017-2018
23,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,13,12,"1,057",11.7,10,4,9,1,2,0,0,0.85,0.34,1.19,0.77,1.11,9.0,7.5,1.2,8.6,0.77,0.10,0.86,0.64,0.74,Matches,2017-2018
24,Serge Aurier,ci CIV,DF,Tottenham,24,1992,17,16,"1,429",15.9,2,2,2,0,0,2,2,0.13,0.13,0.25,0.13,0.25,0.7,0.7,1.9,2.7,0.05,0.12,0.17,0.05,0.17,Matches,2017-2018
26,Charlie Austin,eng ENG,FW,Southampton,28,1989,24,10,"1,037",11.5,7,0,6,1,1,2,0,0.61,0.00,0.61,0.52,0.52,8.6,7.8,0.4,8.2,0.75,0.03,0.78,0.68,0.71,Matches,2017-2018
27,André Ayew,gh GHA,"FW,MF",Swansea City,27,1989,12,10,950,10.6,0,2,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,2.0,2.0,1.5,3.5,0.19,0.14,0.33,0.19,0.33,Matches,2017-2018
28,André Ayew,gh GHA,"MF,FW",West Ham,27,1989,18,9,895,9.9,3,2,3,0,1,2,0,0.30,0.20,0.50,0.30,0.50,2.9,2.2,0.2,2.4,0.29,0.02,0.32,0.22,0.24,Matches,2017-2018
29,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,36,33,"2,852",31.7,7,2,6,1,1,2,1,0.22,0.06,0.28,0.19,0.25,7.0,6.2,0.8,7.1,0.22,0.03,0.25,0.20,0.22,Matches,2017-2018
30,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,37,"3,330",37.0,2,6,2,0,0,1,0,0.05,0.16,0.22,0.05,0.22,1.4,1.4,3.0,4.4,0.04,0.08,0.12,0.04,0.12,Matches,2017-2018
31,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,13,11,"1,001",11.1,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.3,1.3,0.09,0.03,0.11,0.09,0.11,Matches,2017-2018
32,Leighton Baines,eng ENG,DF,Everton,32,1984,22,22,"1,909",21.2,2,3,0,2,2,1,0,0.09,0.14,0.24,0.00,0.14,2.0,0.4,1.9,2.3,0.09,0.09,0.18,0.02,0.11,Matches,2017-2018
33,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,29,24,"2,126",23.6,2,2,2,0,0,4,2,0.08,0.08,0.17,0.08,0.17,3.5,3.5,0.6,4.1,0.15,0.03,0.18,0.15,0.18,Matches,2017-2018
34,Sam Baldock,eng ENG,MF,Brighton,28,1989,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
35,Beni Baningime,cd COD,MF,Everton,18,1998,8,1,198,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
36,Phil Bardsley,sct SCO,DF,Burnley,32,1985,13,13,"1,125",12.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.07,0.07,0.00,0.07,Matches,2017-2018
37,Ross Barkley,eng ENG,"MF,FW",Chelsea,23,1993,2,2,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.33,0.07,0.40,0.33,0.40,Matches,2017-2018
38,Ashley Barnes,eng ENG,"FW,MF",Burnley,27,1989,36,21,"2,165",24.1,9,0,9,0,0,10,0,0.37,0.00,0.37,0.37,0.37,5.9,5.9,1.9,7.8,0.25,0.08,0.32,0.25,0.32,Matches,2017-2018
39,Harvey Barnes,eng ENG,MF,Leicester City,19,1997,3,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.70,0.00,0.70,0.70,0.70,Matches,2017-2018
40,Gareth Barry,eng ENG,MF,West Brom,36,1981,25,22,"1,923",21.4,1,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,1.1,1.1,1.6,2.6,0.05,0.07,0.12,0.05,0.12,Matches,2017-2018
41,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,5,2,235,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.04,0.11,0.14,0.04,0.14,Matches,2017-2018
42,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,12,3,360,4.0,2,1,2,0,0,0,0,0.50,0.25,0.75,0.50,0.75,0.8,0.8,0.2,1.0,0.20,0.04,0.24,0.20,0.24,Matches,2017-2018
43,Moritz Bauer,at AUT,"DF,MF",Stoke City,25,1992,15,15,"1,306",14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,1.3,0.02,0.07,0.09,0.02,0.09,Matches,2017-2018
44,Jan Bednarek,pl POL,DF,Southampton,21,1996,5,5,426,4.7,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches,2017-2018
45,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,38,"3,420",38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
46,Héctor Bellerín,es ESP,DF,Arsenal,22,1995,35,34,"3,051",33.9,2,3,2,0,0,5,0,0.06,0.09,0.15,0.06,0.15,2.6,2.6,3.6,6.2,0.08,0.11,0.18,0.08,0.18,Matches,2017-2018
47,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,2017-2018
48,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,31,24,"2,240",24.9,3,5,2,1,2,6,0,0.12,0.20,0.32,0.08,0.28,10.0,8.5,2.7,11.2,0.40,0.11,0.51,0.34,0.45,Matches,2017-2018
49,Saido Berahino,bi BDI,FW,Stoke City,23,1993,15,3,494,5.5,0,1,0,0,1,0,0,0.00,0.18,0.18,0.00,0.18,1.7,0.9,0.5,1.5,0.31,0.10,0.41,0.17,0.27,Matches,2017-2018
50,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,35,32,"2,833",31.5,2,8,2,0,0,2,0,0.06,0.25,0.32,0.06,0.32,3.7,3.7,4.8,8.5,0.12,0.15,0.27,0.12,0.27,Matches,2017-2018
52,Ryan Bertrand,eng ENG,DF,Southampton,27,1989,35,35,"3,135",34.8,0,4,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.9,1.9,3.6,5.5,0.05,0.10,0.16,0.05,0.16,Matches,2017-2018
53,Muhamed Bešić,ba BIH,MF,Everton,24,1992,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.08,0.08,0.00,0.08,Matches,2017-2018
54,Philip Billing,dk DEN,MF,Huddersfield,21,1996,16,8,764,8.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.04,0.05,0.02,0.05,Matches,2017-2018
55,Mame Biram Diouf,sn SEN,"FW,DF",Stoke City,29,1987,35,30,"2,596",28.8,6,2,6,0,0,6,0,0.21,0.07,0.28,0.21,0.28,7.3,7.3,1.6,8.9,0.25,0.06,0.31,0.25,0.31,Matches,2017-2018
56,Daley Blind,nl NED,"DF,MF",Manchester Utd,27,1990,7,4,362,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.03,0.10,0.14,0.03,0.14,Matches,2017-2018
