,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Fernando Menegazzo,br BRA,MF,Bordeaux,26,1981,32,27,"2,468",27.4,3,3,3,0,0,6,0,0.11,0.11,0.22,0.11,0.22,Matches,2007-2008
1,Jacques Abardonado,fr FRA,DF,Nice,29,1978,10,4,434,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
2,Yacine Abdessadki,ma MAR,MF,Strasbourg,26,1981,23,17,"1,549",17.2,0,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,2007-2008
3,Ahmed Abou Moslem,eg EGY,"DF,MF",Strasbourg,26,1981,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
4,Fabrice Abriel,fr FRA,MF,Lorient,28,1979,38,38,"3,420",38.0,2,2,2,0,0,4,0,0.05,0.05,0.11,0.05,0.11,Matches,2007-2008
5,Adriano,br BRA,DF,Monaco,25,1982,24,23,"1,957",21.7,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
6,Rabiu Afolabi,ng NGA,DF,Sochaux,27,1980,27,27,"2,385",26.5,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
7,Laurent Agouazi,dz ALG,MF,Metz,23,1984,32,28,"2,367",26.3,0,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,2007-2008
8,Wilmer Aguirre,pe PER,"FW,MF",Metz,24,1983,17,13,"1,136",12.6,2,0,2,0,0,3,0,0.16,0.00,0.16,0.16,0.16,Matches,2007-2008
9,Kanga Akalé,ci CIV,"FW,MF",Marseille,26,1981,19,11,865,9.6,1,1,1,0,0,0,0,0.10,0.10,0.21,0.10,0.21,Matches,2007-2008
10,Kanga Akalé,ci CIV,"FW,MF",Lens,26,1981,9,7,627,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
11,Sergio Almirón,ar ARG,MF,Monaco,26,1980,11,9,805,8.9,2,0,2,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches,2007-2008
12,Alejandro Alonso,ar ARG,MF,Bordeaux,25,1982,32,26,"2,086",23.2,0,5,0,0,0,7,0,0.00,0.22,0.22,0.00,0.22,Matches,2007-2008
13,Arnaud Anastassowa,fr FRA,DF,Metz,19,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
14,Anderson,br BRA,DF,Lyon,27,1980,12,11,963,10.7,1,0,1,0,0,3,1,0.09,0.00,0.09,0.09,0.09,Matches,2007-2008
15,Cédric Anton,fr FRA,DF,Metz,19,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
16,Marcos Antônio,br BRA,DF,Auxerre,24,1983,10,7,622,6.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
17,Onyekachi Apam,ng NGA,DF,Nice,20,1986,30,30,"2,691",29.9,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
18,Sylvain Armand,fr FRA,DF,Paris S-G,26,1980,35,35,"3,123",34.7,2,2,2,0,0,6,0,0.06,0.06,0.12,0.06,0.12,Matches,2007-2008
19,Loris Arnaud,fr FRA,"FW,MF",Paris S-G,20,1987,18,9,782,8.7,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches,2007-2008
20,Salim Arrache,dz ALG,MF,Toulouse,25,1982,16,11,934,10.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
21,Salim Arrache,dz ALG,MF,Marseille,25,1982,7,1,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
22,Dominique Arribagé,fr FRA,DF,Toulouse,36,1971,27,25,"2,270",25.2,1,1,1,0,0,3,1,0.04,0.04,0.08,0.04,0.08,Matches,2007-2008
23,Lucien Aubey,cg CGO,DF,Lens,23,1984,12,10,940,10.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
24,Fabien Audard,fr FRA,GK,Lorient,29,1978,38,38,"3,420",38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
26,Johan Audel,mq MTQ,"FW,MF",Valenciennes,23,1983,23,17,"1,359",15.1,9,0,9,0,0,1,0,0.60,0.00,0.60,0.60,0.60,Matches,2007-2008
27,André Ayew,gh GHA,"FW,MF",Marseille,17,1989,9,3,247,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
28,Issa Ba,sn SEN,MF,Auxerre,25,1981,3,0,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
29,Ludovic Baal,gf GUF,"DF,MF",Le Mans,21,1986,12,7,670,7.4,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,2007-2008
30,Lhadji Badiane,sn SEN,FW,Rennes,20,1987,5,0,116,1.3,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
31,Mamadou Bah,gn GUI,MF,Strasbourg,19,1988,5,4,296,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
32,Brahim El Bahri,ma MAR,"FW,MF",Le Mans,21,1986,3,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
33,Djamel Bakar,km COM,"FW,MF",Monaco,18,1989,17,8,871,9.7,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches,2007-2008
34,Abdoulaye Baldé,fr FRA,FW,Metz,20,1986,3,1,86,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
35,Florent Balmont,fr FRA,MF,Nice,27,1980,36,35,"3,112",34.6,0,3,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,Matches,2007-2008
36,Habib Bamogo,bf BFA,FW,Nice,25,1982,35,18,"1,945",21.6,2,0,1,1,1,4,0,0.09,0.00,0.09,0.05,0.05,Matches,2007-2008
37,Cédric Barbosa,fr FRA,MF,Metz,31,1976,20,19,"1,647",18.3,4,2,4,0,0,7,1,0.22,0.11,0.33,0.22,0.33,Matches,2007-2008
38,Milan Baroš,cz CZE,FW,Lyon,25,1981,12,6,664,7.4,3,1,3,0,0,2,0,0.41,0.14,0.54,0.41,0.54,Matches,2007-2008
39,Patrick Barul,fr FRA,DF,Nice,29,1977,8,4,396,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
40,Marko Baša,me MNE,DF,Le Mans,24,1982,28,28,"2,442",27.1,5,0,5,0,0,4,0,0.18,0.00,0.18,0.18,0.18,Matches,2007-2008
41,Sébastien Bassong,cm CMR,DF,Metz,21,1986,19,19,"1,551",17.2,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
42,Michel Bastos,br BRA,"DF,MF",Lille,23,1983,35,27,"2,380",26.4,8,1,6,2,2,2,0,0.30,0.04,0.34,0.23,0.26,Matches,2007-2008
43,Laurent Batlles,fr FRA,MF,Toulouse,31,1975,22,14,"1,211",13.5,1,1,1,0,0,5,1,0.07,0.07,0.15,0.07,0.15,Matches,2007-2008
44,Moustapha Bayal Sall,sn SEN,DF,Saint-Étienne,21,1985,31,29,"2,633",29.3,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
