,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Aymen Abdennour,tn TUN,DF,Marseille,27,1989,8,6,499,5.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,2017-2018
1,Mehdi Abeid,dz ALG,MF,Dijon,24,1992,19,14,"1,176",13.1,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,0.2,1.2,0.08,0.02,0.09,0.08,0.09,Matches,2017-2018
2,Khaled Adénon,bj BEN,DF,Amiens,32,1985,34,32,"2,921",32.5,0,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018
3,Yacine Adli,fr FRA,FW,Paris S-G,17,2000,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
4,Ruben Aguilar,fr FRA,"DF,MF",Montpellier,24,1993,31,27,"2,459",27.3,0,2,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,2.6,3.3,0.03,0.09,0.12,0.03,0.12,Matches,2017-2018
5,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,23,1994,35,35,"3,006",33.4,5,0,5,0,0,4,0,0.15,0.00,0.15,0.15,0.15,2.9,2.9,0.6,3.6,0.09,0.02,0.11,0.09,0.11,Matches,2017-2018
6,Youssef Aït Bennasser,ma MAR,MF,Caen,21,1996,27,25,"2,047",22.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,1.8,0.03,0.05,0.08,0.03,0.08,Matches,2017-2018
7,David Alcibiade,fr FRA,DF,Nantes,25,1991,3,2,208,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.1,0.1,0.2,0.2,0.03,0.08,0.10,0.03,0.10,Matches,2017-2018
8,Júnior Alonso,py PAR,DF,Lille,24,1993,34,30,"2,781",30.9,2,1,2,0,0,3,0,0.06,0.03,0.10,0.06,0.10,0.9,0.9,0.6,1.4,0.03,0.02,0.05,0.03,0.05,Matches,2017-2018
9,Dani Alves,br BRA,DF,Paris S-G,34,1983,25,23,"2,063",22.9,1,7,1,0,0,7,1,0.04,0.31,0.35,0.04,0.35,1.4,1.4,5.6,7.0,0.06,0.25,0.30,0.06,0.30,Matches,2017-2018
10,Ibrahim Amadou,fr FRA,"MF,DF",Lille,24,1993,30,30,"2,405",26.7,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,1.6,0.04,0.02,0.06,0.04,0.06,Matches,2017-2018
11,Morgan Amalfitano,fr FRA,MF,Rennes,32,1985,14,10,746,8.3,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,1.6,0.13,0.06,0.19,0.13,0.19,Matches,2017-2018
12,Romain Amalfitano,fr FRA,MF,Dijon,27,1989,33,31,"2,703",30.0,0,3,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,2.0,2.4,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018
13,Jordan Amavi,fr FRA,DF,Marseille,23,1994,27,24,"2,193",24.4,0,5,0,0,0,7,0,0.00,0.21,0.21,0.00,0.21,0.5,0.5,1.4,1.9,0.02,0.06,0.08,0.02,0.08,Matches,2017-2018
14,Kelvin Amian,fr FRA,DF,Toulouse,19,1998,36,35,"3,154",35.0,1,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06,0.9,0.9,0.9,1.9,0.03,0.03,0.05,0.03,0.05,Matches,2017-2018
15,Benjamin André,fr FRA,MF,Rennes,26,1990,34,34,"3,011",33.5,3,3,3,0,0,11,1,0.09,0.09,0.18,0.09,0.18,3.7,3.7,1.7,5.4,0.11,0.05,0.16,0.11,0.16,Matches,2017-2018
