,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Jacques Abardonado,fr FRA,DF,Nürnberg,29,1978,10,9,820,9.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
1,Otto Addo,gh GHA,MF,Hamburger SV,32,1975,4,0,24,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
2,Nicky Adler,de GER,"FW,MF",Nürnberg,22,1985,13,5,472,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
3,René Adler,de GER,GK,Leverkusen,22,1985,33,33,"2,970",33.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
4,Godfried Aduobe,gh GHA,MF,Karlsruher,31,1975,24,18,"1,379",15.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
5,Victor Agali,ng NGA,FW,Hansa Rostock,28,1978,23,20,"1,509",16.8,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches,2007-2008
6,Mehmet Akgün,tr TUR,"DF,FW",Dortmund,20,1986,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
7,Carlos Alberto,br BRA,MF,Werder Bremen,22,1984,2,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
8,Hugo Almeida,pt POR,FW,Werder Bremen,23,1984,23,18,"1,378",15.3,11,2,11,0,0,4,1,0.72,0.13,0.85,0.72,0.85,Matches,2007-2008
9,Stathis Aloneftis,cy CYP,"FW,MF",Energie Cottbus,24,1983,12,3,332,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
10,Halil Altıntop,tr TUR,"FW,MF",Schalke 04,24,1982,25,17,"1,326",14.7,6,2,6,0,0,0,0,0.41,0.14,0.54,0.41,0.54,Matches,2007-2008
11,Hamit Altıntop,tr TUR,"DF,MF",Bayern Munich,24,1982,23,17,"1,638",18.2,3,2,3,0,0,3,0,0.16,0.11,0.27,0.16,0.27,Matches,2007-2008
12,Caio Alves,br BRA,MF,Eint Frankfurt,21,1986,10,1,250,2.8,1,1,1,0,0,0,0,0.36,0.36,0.72,0.36,0.72,Matches,2007-2008
13,Ioannis Amanatidis,gr GRE,"FW,MF",Eint Frankfurt,25,1981,32,31,"2,700",30.0,11,5,9,2,2,3,0,0.37,0.17,0.53,0.30,0.47,Matches,2007-2008
14,Martin Amedick,de GER,DF,Dortmund,24,1982,16,11,"1,031",11.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
15,Leon Andreasen,dk DEN,"DF,MF",Werder Bremen,24,1983,10,3,403,4.5,2,2,2,0,0,1,1,0.45,0.45,0.89,0.45,0.89,Matches,2007-2008
