,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,27,27,"2,302",25.6,0,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.4,0.8,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018
1,Amir Abrashi,al ALB,MF,Freiburg,27,1990,12,11,850,9.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08,Matches,2017-2018
2,René Adler,de GER,GK,Mainz 05,32,1985,14,14,"1,260",14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.03,0.03,0.00,0.03,Matches,2017-2018
3,Ailton,br BRA,"DF,FW",Stuttgart,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.13,0.15,0.02,0.15,Matches,2017-2018
4,Manuel Akanji,ch SUI,DF,Dortmund,22,1995,11,10,904,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018
5,Chadrac Akolo,cd COD,"FW,MF",Stuttgart,22,1995,22,13,"1,102",12.2,5,0,5,0,1,2,0,0.41,0.00,0.41,0.41,0.41,4.8,4.0,1.7,5.7,0.39,0.14,0.53,0.33,0.47,Matches,2017-2018
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,22,17,"1,690",18.8,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.5,1.7,0.01,0.08,0.09,0.01,0.09,Matches,2017-2018
7,David Alaba,at AUT,DF,Bayern Munich,25,1992,23,17,"1,551",17.2,2,2,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,1.0,1.0,2.2,3.2,0.06,0.13,0.18,0.06,0.18,Matches,2017-2018
8,Lucas Alario,ar ARG,FW,Leverkusen,24,1992,23,17,"1,550",17.2,9,4,8,1,2,4,1,0.52,0.23,0.75,0.46,0.70,10.9,9.4,1.7,11.1,0.63,0.10,0.73,0.54,0.64,Matches,2017-2018
9,Miiko Albornoz,cl CHI,DF,Hannover 96,26,1990,10,7,703,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,1.4,0.03,0.15,0.18,0.03,0.18,Matches,2017-2018
