,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Christian Abbiati,it ITA,GK,Milan,21,1977,18,17,"1,531",17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
1,Nelson Abeijón,uy URU,MF,Cagliari,25,1973,7,2,219,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
2,Augustine Ahinful,gh GHA,FW,Venezia,23,1974,3,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
3,Demetrio Albertini,it ITA,"FW,MF",Milan,26,1971,29,29,"2,480",27.6,2,5,0,2,2,5,0,0.07,0.18,0.25,0.00,0.18,Matches,1998-1999
4,Aldair,br BRA,DF,Roma,32,1965,27,27,"2,421",26.9,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
5,Dmitri Alenichev,ru RUS,MF,Roma,25,1972,21,11,"1,080",12.0,1,5,1,0,0,4,1,0.08,0.42,0.50,0.08,0.50,Matches,1998-1999
6,Mohammed Aliyu,ng NGA,FW,Milan,16,1982,1,0,14,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
7,Matías Almeyda,ar ARG,"DF,MF",Lazio,24,1973,25,25,"2,153",23.9,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,Matches,1998-1999
8,Simone Aloe,,,Sampdoria,19,1978,1,0,5,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
9,Gabriele Ambrosetti,it ITA,MF,Vicenza,24,1973,24,21,"1,843",20.5,4,5,4,0,0,5,0,0.20,0.24,0.44,0.20,0.44,Matches,1998-1999
10,Massimo Ambrosini,it ITA,MF,Milan,21,1977,26,23,"1,996",22.2,1,2,1,0,0,8,1,0.05,0.09,0.14,0.05,0.14,Matches,1998-1999
11,Marco Ambrosio,it ITA,GK,Sampdoria,25,1973,7,3,404,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
12,Raffaele Ametrano,it ITA,MF,Salernitana,25,1973,11,2,254,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
13,Guillermo Amor,es ESP,MF,Fiorentina,30,1967,16,3,508,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
14,Christian Amoroso,it ITA,MF,Fiorentina,21,1976,28,28,"2,162",24.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
15,Márcio Amoroso,br BRA,FW,Udinese,24,1974,33,31,"2,713",30.1,22,7,15,7,9,6,0,0.73,0.23,0.96,0.50,0.73,Matches,1998-1999
16,Nicola Amoruso,it ITA,FW,Juventus,23,1974,20,12,"1,084",12.0,3,1,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches,1998-1999
17,Daniel Andersson,se SWE,"DF,MF",Bari,20,1977,33,33,"2,889",32.1,3,0,0,3,3,2,1,0.09,0.00,0.09,0.00,0.00,Matches,1998-1999
18,Kennet Andersson,se SWE,FW,Bologna,30,1967,25,25,"2,133",23.7,6,3,6,0,0,6,0,0.25,0.13,0.38,0.25,0.38,Matches,1998-1999
19,Francesco Antonioli,it ITA,GK,Bologna,28,1969,32,32,"2,842",31.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
20,Luigi Apolloni,it ITA,DF,Parma,31,1967,2,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
21,Stephen Appiah,gh GHA,MF,Udinese,17,1980,21,12,"1,033",11.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
22,Leonardo Araújo,br BRA,"DF,MF",Milan,28,1969,27,16,"1,402",15.6,12,2,12,0,0,3,0,0.77,0.13,0.90,0.77,0.90,Matches,1998-1999
23,Fabio Artico,it ITA,FW,Empoli,24,1973,1,1,73,0.8,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
24,Faustino Asprilla,co COL,FW,Parma,28,1969,8,2,318,3.5,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches,1998-1999
26,Marco Aurélio,br BRA,DF,Vicenza,31,1967,14,13,"1,086",12.1,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
27,Roberto Ayala,ar ARG,DF,Milan,25,1973,10,5,561,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
