,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,Max Aarons,eng ENG,DF,Norwich City,22-105,2000,28,27,"2,398",26.6,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,0.9,1.6,0.02,0.04,0.06,0.02,0.06,Matches
1,Che Adams,sct SCO,FW,Southampton,25-280,1996,25,21,"1,823",20.3,7,3,7,0,0,0,0,0.35,0.15,0.49,0.35,0.49,6.3,6.3,2.5,8.8,0.31,0.13,0.44,0.31,0.44,Matches
2,Rayan Aït Nouri,fr FRA,DF,Wolves,20-317,2001,18,15,"1,378",15.3,0,2,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.2,1.6,0.03,0.08,0.11,0.03,0.11,Matches
3,Kristoffer Ajer,no NOR,DF,Brentford,24-002,1998,20,19,"1,667",18.5,0,3,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.4,0.4,1.2,1.6,0.02,0.06,0.08,0.02,0.08,Matches
4,Nathan Aké,nl NED,DF,Manchester City,27-060,1995,10,8,761,8.5,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,0.7,0.7,0.5,1.2,0.09,0.06,0.14,0.09,0.14,Matches
5,Marc Albrighton,eng ENG,"FW,DF",Leicester City,32-152,1989,15,10,997,11.1,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.5,0.5,1.3,1.8,0.05,0.12,0.17,0.05,0.17,Matches
6,Thiago Alcántara,es ESP,MF,Liverpool,31-008,1991,19,13,"1,188",13.2,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,1.6,1.6,1.7,3.3,0.12,0.13,0.25,0.12,0.25,Matches
7,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-194,1998,27,27,"2,403",26.7,2,12,2,0,0,1,0,0.07,0.45,0.52,0.07,0.52,2.3,2.3,9.9,12.2,0.09,0.37,0.46,0.09,0.46,Matches
8,Alisson,br BRA,GK,Liverpool,29-199,1992,29,29,"2,610",29.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches
9,Allan,br BRA,MF,Everton,31-101,1991,24,23,"2,024",22.5,0,2,0,0,0,6,1,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Matches
10,Dele Alli,eng ENG,MF,Everton,26-008,1996,6,0,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.04,0.13,0.17,0.04,0.17,Matches
11,Dele Alli,eng ENG,"MF,FW",Tottenham,26-008,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.00,0.14,0.00,0.00,1.5,0.7,0.8,1.5,0.20,0.11,0.31,0.10,0.21,Matches
12,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,28-068,1994,24,14,"1,284",14.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.6,1.8,0.08,0.04,0.13,0.08,0.13,Matches
13,Marcos Alonso,es ESP,DF,Chelsea,31-112,1990,21,18,"1,592",17.7,2,3,2,0,0,6,0,0.11,0.17,0.28,0.11,0.28,2.2,2.2,3.7,5.9,0.13,0.21,0.33,0.13,0.33,Matches
14,Steven Alzate,co COL,MF,Brighton,23-223,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches
