,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Kike López,es ESP,FW,Valladolid,20,1988,3,1,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
1,Pato Abbondanzieri,ar ARG,GK,Getafe,35,1972,13,13,"1,083",12.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
2,Damià Abella,es ESP,"DF,MF",Betis,26,1982,25,20,"1,788",19.9,2,0,2,0,0,7,0,0.10,0.00,0.10,0.10,0.10,Matches,2008-2009
3,Éric Abidal,fr FRA,DF,Barcelona,28,1979,25,25,"2,116",23.5,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
4,Santiago Acasiete,pe PER,DF,Almería,30,1977,17,17,"1,507",16.7,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,2008-2009
5,Lautaro Acosta,ar ARG,"FW,MF",Sevilla,20,1988,7,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
6,Adriano,br BRA,"DF,MF",Sevilla,23,1984,29,22,"1,977",22.0,3,3,3,0,0,3,1,0.14,0.14,0.27,0.14,0.27,Matches,2008-2009
7,Adriano,br BRA,FW,Málaga,26,1982,7,0,154,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
8,Aritz Aduriz,es ESP,FW,Mallorca,27,1981,35,33,"2,726",30.3,11,5,11,0,0,11,0,0.36,0.17,0.53,0.36,0.53,Matches,2008-2009
9,Sergio Agüero,ar ARG,FW,Atlético Madrid,20,1988,37,34,"2,863",31.8,17,9,17,0,0,3,0,0.53,0.28,0.82,0.53,0.82,Matches,2008-2009
10,Marcos Aguirre,ar ARG,MF,Valladolid,24,1984,15,5,649,7.2,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,2008-2009
11,Kanga Akalé,ci CIV,"FW,MF",Recreativo,27,1981,26,5,798,8.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
12,David Albelda,es ESP,"DF,MF",Valencia,30,1977,30,25,"2,273",25.3,0,0,0,0,0,12,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
13,Raúl Albiol,es ESP,DF,Valencia,22,1985,34,33,"2,940",32.7,2,1,2,0,0,8,0,0.06,0.03,0.09,0.06,0.09,Matches,2008-2009
14,Thiago Alcántara,es ESP,MF,Barcelona,17,1991,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
15,Alexis,es ESP,DF,Valencia,22,1985,24,24,"2,051",22.8,1,0,1,0,0,8,1,0.04,0.00,0.04,0.04,0.04,Matches,2008-2009
