,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
1,Aday,es ESP,"DF,MF",Girona,30,1987,10,8,645,7.2,0,2,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,0.2,0.2,0.8,1.0,0.03,0.12,0.15,0.03,0.15,Matches,2018-2019
2,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,20,10,943,10.5,2,0,0,2,2,5,0,0.19,0.00,0.19,0.00,0.00,3.4,1.8,0.4,2.3,0.32,0.04,0.36,0.17,0.21,Matches,2018-2019
3,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,28,27,"2,389",26.5,1,3,1,0,0,6,2,0.04,0.11,0.15,0.04,0.15,0.9,0.9,1.8,2.7,0.04,0.07,0.10,0.04,0.10,Matches,2018-2019
4,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,27,23,"2,032",22.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.6,0.01,0.02,0.02,0.01,0.02,Matches,2018-2019
5,Juan Aguilera,es ESP,MF,Huesca,32,1985,6,4,344,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.13,0.01,0.15,0.13,0.15,Matches,2018-2019
6,Carlos Akapo,gq EQG,DF,Huesca,25,1993,13,12,"1,023",11.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.7,0.03,0.03,0.06,0.03,0.06,Matches,2018-2019
7,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,2,180,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,2018-2019
8,Jordi Alba,es ESP,DF,Barcelona,29,1989,36,32,"2,991",33.2,2,8,2,0,0,6,0,0.06,0.24,0.30,0.06,0.30,1.8,1.8,5.2,7.0,0.05,0.16,0.21,0.05,0.21,Matches,2018-2019
9,Pedro Alcalá,es ESP,DF,Girona,29,1989,25,20,"1,868",20.8,1,1,1,0,0,9,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,0.3,1.2,0.04,0.02,0.06,0.04,0.06,Matches,2018-2019
10,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,34,34,"2,976",33.1,3,2,3,0,1,13,0,0.09,0.06,0.15,0.09,0.15,3.3,2.6,1.3,3.9,0.10,0.04,0.14,0.08,0.12,Matches,2018-2019
11,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.15,0.17,0.32,0.15,0.32,Matches,2018-2019
12,Iván Alejo,es ESP,"MF,FW",Getafe,23,1995,4,2,146,1.6,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.09,0.13,0.04,0.13,Matches,2018-2019
13,Carles Aleñá,es ESP,MF,Barcelona,20,1998,17,6,637,7.1,2,0,2,0,0,2,0,0.28,0.00,0.28,0.28,0.28,1.5,1.5,0.7,2.1,0.21,0.09,0.30,0.21,0.30,Matches,2018-2019
14,Alexander,ar ARG,DF,Leganés,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
15,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,25,1993,9,6,536,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.06,0.04,0.10,0.06,0.10,Matches,2018-2019
16,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13,13,"1,170",13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
17,Sergio Álvarez,es ESP,"MF,DF",Eibar,26,1992,19,12,"1,069",11.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches,2018-2019
18,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,30,30,"2,613",29.0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,1.4,1.0,0.0,1.1,0.05,0.00,0.05,0.04,0.04,Matches,2018-2019
19,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,25,1993,17,7,762,8.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.8,0.09,0.01,0.10,0.09,0.10,Matches,2018-2019
20,Jordi Amat,es ESP,DF,Rayo Vallecano,26,1992,31,31,"2,763",30.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.02,0.00,0.03,0.02,0.03,Matches,2018-2019
21,Amath,sn SEN,"MF,FW",Getafe,22,1996,15,13,"1,002",11.1,1,2,1,0,0,4,0,0.09,0.18,0.27,0.09,0.27,1.6,1.6,0.7,2.3,0.14,0.07,0.21,0.14,0.21,Matches,2018-2019
22,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
23,José Ángel,es ESP,DF,Eibar,28,1989,35,34,"3,028",33.6,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,3.6,4.3,0.02,0.11,0.13,0.02,0.13,Matches,2018-2019
24,Antoñito,es ESP,"DF,MF",Valladolid,30,1987,30,18,"1,863",20.7,2,1,2,0,0,5,0,0.10,0.05,0.14,0.10,0.14,1.0,1.0,1.8,2.8,0.05,0.09,0.14,0.05,0.14,Matches,2018-2019
26,Vitorino Antunes,pt POR,DF,Getafe,31,1987,28,25,"2,181",24.2,1,3,1,0,0,5,0,0.04,0.12,0.17,0.04,0.17,0.9,0.9,2.7,3.6,0.04,0.11,0.15,0.04,0.15,Matches,2018-2019
27,Anuar,ma MAR,MF,Valladolid,23,1995,19,12,"1,081",12.0,1,0,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,2.7,2.7,0.1,2.7,0.22,0.01,0.23,0.22,0.23,Matches,2018-2019
